snapshot_id,scene_variant,geometry_seed_index,geometry_seed_value,measurement_seed_index,measurement_seed_value,repeat_index,condition,snapshot_origin,phase_b_overlap,backend,planned_trial_id
phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/INDEPENDENT_NOISE_FREE,GEOMETRY_RICH_ROOM,0,1850310744,0,217775206,0,INDEPENDENT_NOISE_FREE,NEW_DEVELOPMENT_GENERATED,true,open3d_point_to_plane,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/INDEPENDENT_NOISE_FREE/open3d_point_to_plane
phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/INDEPENDENT_NOISE_FREE,GEOMETRY_RICH_ROOM,0,1850310744,0,217775206,0,INDEPENDENT_NOISE_FREE,NEW_DEVELOPMENT_GENERATED,true,pcl_iterative_closest_point_with_normals,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/INDEPENDENT_NOISE_FREE/pcl_iterative_closest_point_with_normals
full-synthetic-development-v1/GEOMETRY_RICH_ROOM/g0/m0/r0/SCAN_NOISE_ONLY,GEOMETRY_RICH_ROOM,0,1850310744,0,217775206,0,SCAN_NOISE_ONLY,NEW_DEVELOPMENT_GENERATED,false,open3d_point_to_plane,full-synthetic-development-v1/GEOMETRY_RICH_ROOM/g0/m0/r0/SCAN_NOISE_ONLY/open3d_point_to_plane
full-synthetic-development-v1/GEOMETRY_RICH_ROOM/g0/m0/r0/SCAN_NOISE_ONLY,GEOMETRY_RICH_ROOM,0,1850310744,0,217775206,0,SCAN_NOISE_ONLY,NEW_DEVELOPMENT_GENERATED,false,pcl_iterative_closest_point_with_normals,full-synthetic-development-v1/GEOMETRY_RICH_ROOM/g0/m0/r0/SCAN_NOISE_ONLY/pcl_iterative_closest_point_with_normals
full-synthetic-development-v1/GEOMETRY_RICH_ROOM/g0/m0/r0/MAP_NOISE_ONLY,GEOMETRY_RICH_ROOM,0,1850310744,0,217775206,0,MAP_NOISE_ONLY,NEW_DEVELOPMENT_GENERATED,false,open3d_point_to_plane,full-synthetic-development-v1/GEOMETRY_RICH_ROOM/g0/m0/r0/MAP_NOISE_ONLY/open3d_point_to_plane
full-synthetic-development-v1/GEOMETRY_RICH_ROOM/g0/m0/r0/MAP_NOISE_ONLY,GEOMETRY_RICH_ROOM,0,1850310744,0,217775206,0,MAP_NOISE_ONLY,NEW_DEVELOPMENT_GENERATED,false,pcl_iterative_closest_point_with_normals,full-synthetic-development-v1/GEOMETRY_RICH_ROOM/g0/m0/r0/MAP_NOISE_ONLY/pcl_iterative_closest_point_with_normals
full-synthetic-development-v1/GEOMETRY_RICH_ROOM/g0/m0/r0/DROPOUT_ONLY,GEOMETRY_RICH_ROOM,0,1850310744,0,217775206,0,DROPOUT_ONLY,NEW_DEVELOPMENT_GENERATED,false,open3d_point_to_plane,full-synthetic-development-v1/GEOMETRY_RICH_ROOM/g0/m0/r0/DROPOUT_ONLY/open3d_point_to_plane
full-synthetic-development-v1/GEOMETRY_RICH_ROOM/g0/m0/r0/DROPOUT_ONLY,GEOMETRY_RICH_ROOM,0,1850310744,0,217775206,0,DROPOUT_ONLY,NEW_DEVELOPMENT_GENERATED,false,pcl_iterative_closest_point_with_normals,full-synthetic-development-v1/GEOMETRY_RICH_ROOM/g0/m0/r0/DROPOUT_ONLY/pcl_iterative_closest_point_with_normals
phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/FULL_NOISE,GEOMETRY_RICH_ROOM,0,1850310744,0,217775206,0,FULL_NOISE,NEW_DEVELOPMENT_GENERATED,true,open3d_point_to_plane,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/FULL_NOISE/open3d_point_to_plane
phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/FULL_NOISE,GEOMETRY_RICH_ROOM,0,1850310744,0,217775206,0,FULL_NOISE,NEW_DEVELOPMENT_GENERATED,true,pcl_iterative_closest_point_with_normals,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/FULL_NOISE/pcl_iterative_closest_point_with_normals
