execution_index,trial_id,scene_id,snapshot_id,backend,started_at_utc,completed_at_utc,solver_success,finite_result,MID360_TWO_SCENE_PILOT,INDEPENDENT_MAP_QUERY_ACQUISITION,INDEPENDENT_ACQUISITION,SAME_BAG_MAP_QUERY,FORMAL_MEASUREMENT_RESULT,PILOT_NONFORMAL_DO_NOT_CITE,PILOT_ONLY,FORMAL_REAL_DATA,MEASUREMENT_EVIDENCE
1,R_TEST_01_Q01::open3d_point_to_plane,R_TEST_01,R_TEST_01_Q01,open3d_point_to_plane,2026-08-18T14:00:03.388161+00:00,2026-08-18T14:00:03.506275+00:00,true,true,true,true,true,false,false,true,true,false,false
2,R_TEST_01_Q02::open3d_point_to_plane,R_TEST_01,R_TEST_01_Q02,open3d_point_to_plane,2026-08-18T14:00:03.506293+00:00,2026-08-18T14:00:03.626527+00:00,true,true,true,true,true,false,false,true,true,false,false
3,R_TEST_01_Q03::open3d_point_to_plane,R_TEST_01,R_TEST_01_Q03,open3d_point_to_plane,2026-08-18T14:00:03.626549+00:00,2026-08-18T14:00:03.753157+00:00,true,true,true,true,true,false,false,true,true,false,false
4,R_TEST_01_Q04::open3d_point_to_plane,R_TEST_01,R_TEST_01_Q04,open3d_point_to_plane,2026-08-18T14:00:03.753177+00:00,2026-08-18T14:00:03.873206+00:00,true,true,true,true,true,false,false,true,true,false,false
5,R_TEST_01_Q05::open3d_point_to_plane,R_TEST_01,R_TEST_01_Q05,open3d_point_to_plane,2026-08-18T14:00:03.873225+00:00,2026-08-18T14:00:04.010756+00:00,true,true,true,true,true,false,false,true,true,false,false
6,R_TEST_01_Q06::open3d_point_to_plane,R_TEST_01,R_TEST_01_Q06,open3d_point_to_plane,2026-08-18T14:00:04.010781+00:00,2026-08-18T14:00:04.157592+00:00,true,true,true,true,true,false,false,true,true,false,false
7,R_TEST_01_Q07::open3d_point_to_plane,R_TEST_01,R_TEST_01_Q07,open3d_point_to_plane,2026-08-18T14:00:04.157612+00:00,2026-08-18T14:00:04.277438+00:00,true,true,true,true,true,false,false,true,true,false,false
8,R_TEST_01_Q08::open3d_point_to_plane,R_TEST_01,R_TEST_01_Q08,open3d_point_to_plane,2026-08-18T14:00:04.277465+00:00,2026-08-18T14:00:04.393437+00:00,true,true,true,true,true,false,false,true,true,false,false
9,R_TEST_01_Q09::open3d_point_to_plane,R_TEST_01,R_TEST_01_Q09,open3d_point_to_plane,2026-08-18T14:00:04.393459+00:00,2026-08-18T14:00:04.523442+00:00,true,true,true,true,true,false,false,true,true,false,false
10,R_TEST_01_Q10::open3d_point_to_plane,R_TEST_01,R_TEST_01_Q10,open3d_point_to_plane,2026-08-18T14:00:04.523469+00:00,2026-08-18T14:00:04.670102+00:00,true,true,true,true,true,false,false,true,true,false,false
11,W_TEST_01_Q01::open3d_point_to_plane,W_TEST_01,W_TEST_01_Q01,open3d_point_to_plane,2026-08-18T14:00:04.670123+00:00,2026-08-18T14:00:04.838867+00:00,true,true,true,true,true,false,false,true,true,false,false
12,W_TEST_01_Q02::open3d_point_to_plane,W_TEST_01,W_TEST_01_Q02,open3d_point_to_plane,2026-08-18T14:00:04.838891+00:00,2026-08-18T14:00:04.999019+00:00,true,true,true,true,true,false,false,true,true,false,false
13,W_TEST_01_Q03::open3d_point_to_plane,W_TEST_01,W_TEST_01_Q03,open3d_point_to_plane,2026-08-18T14:00:04.999041+00:00,2026-08-18T14:00:05.164009+00:00,true,true,true,true,true,false,false,true,true,false,false
14,W_TEST_01_Q04::open3d_point_to_plane,W_TEST_01,W_TEST_01_Q04,open3d_point_to_plane,2026-08-18T14:00:05.164027+00:00,2026-08-18T14:00:05.305091+00:00,true,true,true,true,true,false,false,true,true,false,false
15,W_TEST_01_Q05::open3d_point_to_plane,W_TEST_01,W_TEST_01_Q05,open3d_point_to_plane,2026-08-18T14:00:05.305109+00:00,2026-08-18T14:00:05.448906+00:00,true,true,true,true,true,false,false,true,true,false,false
16,W_TEST_01_Q06::open3d_point_to_plane,W_TEST_01,W_TEST_01_Q06,open3d_point_to_plane,2026-08-18T14:00:05.448924+00:00,2026-08-18T14:00:05.590888+00:00,true,true,true,true,true,false,false,true,true,false,false
17,W_TEST_01_Q07::open3d_point_to_plane,W_TEST_01,W_TEST_01_Q07,open3d_point_to_plane,2026-08-18T14:00:05.590906+00:00,2026-08-18T14:00:05.737570+00:00,true,true,true,true,true,false,false,true,true,false,false
18,W_TEST_01_Q08::open3d_point_to_plane,W_TEST_01,W_TEST_01_Q08,open3d_point_to_plane,2026-08-18T14:00:05.737598+00:00,2026-08-18T14:00:05.871624+00:00,true,true,true,true,true,false,false,true,true,false,false
19,W_TEST_01_Q09::open3d_point_to_plane,W_TEST_01,W_TEST_01_Q09,open3d_point_to_plane,2026-08-18T14:00:05.871641+00:00,2026-08-18T14:00:06.007741+00:00,true,true,true,true,true,false,false,true,true,false,false
20,W_TEST_01_Q10::open3d_point_to_plane,W_TEST_01,W_TEST_01_Q10,open3d_point_to_plane,2026-08-18T14:00:06.007759+00:00,2026-08-18T14:00:06.141189+00:00,true,true,true,true,true,false,false,true,true,false,false
21,R_TEST_01_Q01::pcl_point_to_plane,R_TEST_01,R_TEST_01_Q01,pcl_point_to_plane,2026-08-18T14:00:06.141221+00:00,2026-08-18T14:00:07.155919+00:00,true,true,true,true,true,false,false,true,true,false,false
22,R_TEST_01_Q02::pcl_point_to_plane,R_TEST_01,R_TEST_01_Q02,pcl_point_to_plane,2026-08-18T14:00:07.155939+00:00,2026-08-18T14:00:08.262349+00:00,true,true,true,true,true,false,false,true,true,false,false
