scene_id,semantic_scene,scene_type,snapshot_id,selection_index,quantile,query_candidate_count,target_sequence_rank,selected_sequence_rank,query_frame_index,query_timestamp,query_point_count,query_finite_point_count,query_bag_path,query_bag_sha256,MID360_TWO_SCENE_PILOT,INDEPENDENT_MAP_QUERY_ACQUISITION,INDEPENDENT_ACQUISITION,SAME_BAG_MAP_QUERY,FORMAL_MEASUREMENT_RESULT,PILOT_NONFORMAL_DO_NOT_CITE,PILOT_ONLY,FORMAL_REAL_DATA,MEASUREMENT_EVIDENCE
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q01,0,0.05,148,7.3500000000000005,7,7,1787056353.543167,20064,20064,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q02,1,0.15,148,22.05,22,22,1787056355.0438464,19968,19968,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q03,2,0.25,148,36.75,37,37,1787056356.5430822,20064,20064,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q04,3,0.35,148,51.449999999999996,51,51,1787056357.9431353,20064,20064,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q05,4,0.45,148,66.15,66,66,1787056359.4431496,20064,20064,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q06,5,0.55,148,80.85000000000001,81,81,1787056360.9431803,20064,20064,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q07,6,0.65,148,95.55,96,96,1787056362.4431906,20064,20064,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q08,7,0.75,148,110.25,110,110,1787056363.843278,19968,19968,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q09,8,0.85,148,124.95,125,125,1787056365.3432193,19968,19968,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q10,9,0.95,148,139.65,140,140,1787056366.8432264,19968,19968,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,true,true,true,false,false,true,true,false,false
