snapshot_id,scene_variant,geometry_seed_index,geometry_seed_value,measurement_seed_index,measurement_seed_value,repeat_index,condition,backend,planned_trial_id
phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/INDEPENDENT_NOISE_FREE,GEOMETRY_RICH_ROOM,0,1850310744,0,217775206,0,INDEPENDENT_NOISE_FREE,open3d_point_to_plane,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/INDEPENDENT_NOISE_FREE/open3d_point_to_plane
phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/INDEPENDENT_NOISE_FREE,GEOMETRY_RICH_ROOM,0,1850310744,0,217775206,0,INDEPENDENT_NOISE_FREE,pcl_iterative_closest_point_with_normals,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/INDEPENDENT_NOISE_FREE/pcl_iterative_closest_point_with_normals
phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/FULL_NOISE,GEOMETRY_RICH_ROOM,0,1850310744,0,217775206,0,FULL_NOISE,open3d_point_to_plane,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/FULL_NOISE/open3d_point_to_plane
phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/FULL_NOISE,GEOMETRY_RICH_ROOM,0,1850310744,0,217775206,0,FULL_NOISE,pcl_iterative_closest_point_with_normals,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/FULL_NOISE/pcl_iterative_closest_point_with_normals
phase-b-signal-v1/GEOMETRY_RICH_ROOM/g1/INDEPENDENT_NOISE_FREE,GEOMETRY_RICH_ROOM,1,1957656152,0,217775206,0,INDEPENDENT_NOISE_FREE,open3d_point_to_plane,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g1/INDEPENDENT_NOISE_FREE/open3d_point_to_plane
phase-b-signal-v1/GEOMETRY_RICH_ROOM/g1/INDEPENDENT_NOISE_FREE,GEOMETRY_RICH_ROOM,1,1957656152,0,217775206,0,INDEPENDENT_NOISE_FREE,pcl_iterative_closest_point_with_normals,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g1/INDEPENDENT_NOISE_FREE/pcl_iterative_closest_point_with_normals
phase-b-signal-v1/GEOMETRY_RICH_ROOM/g1/FULL_NOISE,GEOMETRY_RICH_ROOM,1,1957656152,0,217775206,0,FULL_NOISE,open3d_point_to_plane,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g1/FULL_NOISE/open3d_point_to_plane
phase-b-signal-v1/GEOMETRY_RICH_ROOM/g1/FULL_NOISE,GEOMETRY_RICH_ROOM,1,1957656152,0,217775206,0,FULL_NOISE,pcl_iterative_closest_point_with_normals,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g1/FULL_NOISE/pcl_iterative_closest_point_with_normals
phase-b-signal-v1/GEOMETRY_RICH_ROOM/g2/INDEPENDENT_NOISE_FREE,GEOMETRY_RICH_ROOM,2,1334931069,0,217775206,0,INDEPENDENT_NOISE_FREE,open3d_point_to_plane,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g2/INDEPENDENT_NOISE_FREE/open3d_point_to_plane
phase-b-signal-v1/GEOMETRY_RICH_ROOM/g2/INDEPENDENT_NOISE_FREE,GEOMETRY_RICH_ROOM,2,1334931069,0,217775206,0,INDEPENDENT_NOISE_FREE,pcl_iterative_closest_point_with_normals,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g2/INDEPENDENT_NOISE_FREE/pcl_iterative_closest_point_with_normals
