sequence_id,applanix_available,gps_post_process_available,lidar_poses_available,calib_available,T_applanix_lidar_available,lidar_object_count,lidar_remote_bytes,first_lidar_timestamp,last_lidar_timestamp,ground_truth_candidate,test_or_training_status
boreas-2020-11-26-13-58,True,True,True,True,True,9984,50269509504,1606417097502930,1606418132885315,True,TRAIN_PUBLIC_GT
boreas-2020-12-01-13-26,True,True,True,True,True,9277,46238413032,1606847188054077,1606848150013428,True,TRAIN_PUBLIC_GT
boreas-2020-12-18-13-44,True,True,True,True,True,9608,48440643216,1608317079419434,1608318075807556,True,TRAIN_PUBLIC_GT
boreas-2021-01-15-12-17,True,True,True,True,True,8943,45110620680,1610731064109680,1610731991455200,True,TRAIN_PUBLIC_GT
boreas-2021-01-19-15-08,True,True,True,True,True,9113,46793061864,1611086935867676,1611087880820862,True,TRAIN_PUBLIC_GT
boreas-2021-01-26-11-22,True,True,True,True,True,13624,71225980056,1611678138564575,1611679551335205,True,TRAIN_PUBLIC_GT
boreas-2021-02-02-14-07,True,True,True,True,True,10668,54148344936,1612292843994446,1612293950207825,True,TRAIN_PUBLIC_GT
boreas-2021-03-02-13-38,True,True,True,True,True,10412,51869235696,1614710324826904,1614711404490112,True,TRAIN_PUBLIC_GT
boreas-2021-03-23-12-43,True,True,True,True,True,9664,48590511024,1616517833698120,1616518835791817,True,TRAIN_PUBLIC_GT
boreas-2021-03-30-14-23,True,True,True,True,True,11161,55038677904,1617128628164063,1617129785689942,True,TRAIN_PUBLIC_GT
boreas-2021-04-08-12-44,True,True,True,True,True,8866,44780893392,1617900271190186,1617901190530518,True,TRAIN_PUBLIC_GT
boreas-2021-04-13-14-49,True,True,True,True,True,10232,51001278648,1618339756015625,1618340817012177,True,TRAIN_PUBLIC_GT
boreas-2021-04-15-18-55,True,True,True,True,True,9439,48349703232,1618527348641358,1618528327400726,True,TRAIN_PUBLIC_GT
boreas-2021-04-20-14-11,True,True,True,True,True,9476,48201016416,1618942335464264,1618943318066834,True,TRAIN_PUBLIC_GT
boreas-2021-04-29-15-55,True,True,True,True,True,10336,50571272352,1619726114854248,1619727186637573,True,TRAIN_PUBLIC_GT
boreas-2021-05-06-13-19,True,True,True,True,True,10144,50579661456,1620321571980896,1620322623851563,True,TRAIN_PUBLIC_GT
boreas-2021-05-13-16-11,True,True,True,True,True,10668,53249047104,1620936720233032,1620937826447449,True,TRAIN_PUBLIC_GT
boreas-2021-06-03-16-00,True,True,True,True,True,10102,51076803552,1622750457399321,1622751504918701,True,TRAIN_PUBLIC_GT
boreas-2021-06-17-17-52,True,True,True,True,True,11906,59689787736,1623966755089722,1623967989689026,True,TRAIN_PUBLIC_GT
boreas-2021-07-20-17-33,True,True,True,True,True,10843,54927642960,1626816840137029,1626817964499764,True,TRAIN_PUBLIC_GT
boreas-2021-07-27-14-43,True,True,True,True,True,9657,48897570600,1627411476091951,1627412477456633,True,TRAIN_PUBLIC_GT
boreas-2021-08-05-13-34,True,True,True,True,True,10790,53974149360,1628184886518266,1628186005385214,True,TRAIN_PUBLIC_GT
boreas-2021-09-02-11-42,True,True,True,True,True,9967,50582825592,1630597330954834,1630598364474854,True,TRAIN_PUBLIC_GT
boreas-2021-09-07-09-35,True,True,True,True,True,8622,43775588976,1631021758295899,1631022652328858,True,TRAIN_PUBLIC_GT
boreas-2021-09-14-20-00,True,True,True,True,True,9409,48464885472,1631664070152943,1631665045806946,True,TRAIN_PUBLIC_GT
boreas-2021-10-15-12-35,True,True,True,True,True,9546,48733547544,1634315732545410,1634316723224732,True,TRAIN_PUBLIC_GT
boreas-2021-10-22-11-36,True,True,True,True,True,9733,49900897608,1634917014152832,1634918024297119,True,TRAIN_PUBLIC_GT
boreas-2021-11-02-11-16,True,True,True,True,True,9568,48625226184,1635866214126923,1635867207050049,True,TRAIN_PUBLIC_GT
boreas-2021-11-14-09-47,True,True,True,True,True,9876,50402808336,1636901260120239,1636902285042816,True,TRAIN_PUBLIC_GT
boreas-2021-11-16-14-10,True,True,True,True,True,9889,50395639032,1637089823507172,1637090849823792,True,TRAIN_PUBLIC_GT
boreas-2021-11-23-14-27,True,True,True,True,True,9916,49208684808,1637695672062378,1637696701139404,True,TRAIN_PUBLIC_GT
boreas-2020-12-04-14-00,True,False,False,True,True,11923,59630371536,1607108455860399,1607109692221557,False,TEST_GT_HIDDEN
boreas-2021-01-26-10-59,True,False,False,True,True,11867,54573707016,1611676773087158,1611678003645447,False,TEST_GT_HIDDEN
boreas-2021-02-09-12-55,True,False,False,True,True,9824,49514135448,1612893308186524,1612894326872254,False,TEST_GT_HIDDEN
boreas-2021-03-09-14-23,True,False,False,True,True,10323,51544543656,1615317786803162,1615318857240845,False,TEST_GT_HIDDEN
boreas-2021-04-22-15-00,True,False,False,True,True,11197,55576493448,1619118092132885,1619119253207214,False,TEST_GT_HIDDEN
boreas-2021-06-29-18-53,True,False,False,True,True,11175,56250356400,1625007198553314,1625008357343389,False,TEST_GT_HIDDEN
boreas-2021-06-29-20-43,True,False,False,True,True,8054,41688755712,1625013906096482,1625014741226879,False,TEST_GT_HIDDEN
boreas-2021-09-08-21-00,True,False,False,True,True,11032,57057749016,1631149238594189,1631150382555359,False,TEST_GT_HIDDEN
boreas-2021-09-09-15-28,True,False,False,True,True,18775,99311385096,1631215692564697,1631217639509060,False,TEST_GT_HIDDEN
boreas-2021-10-05-15-35,True,False,False,True,True,12074,61229607336,1633462520725830,1633463773933838,False,TEST_GT_HIDDEN
boreas-2021-10-26-12-35,True,False,False,True,True,10151,50975004528,1635266116224365,1635267169824707,False,TEST_GT_HIDDEN
boreas-2021-11-06-18-55,True,False,False,True,True,11594,59478685752,1636239302705567,1636240505874970,False,TEST_GT_HIDDEN
boreas-2021-11-28-09-18,True,False,False,True,True,10856,54627472296,1638109091451843,1638110218097412,False,TEST_GT_HIDDEN
