archive_name,size_bytes,checksum,download_url
loc_diablo_1.zip,1335629859,md5:9f3f2d775f5e47551963b07545083dbe,https://zenodo.org/api/records/19367714/files/loc_diablo_1.zip/content
loc_diablo_1_rosbag.zip,1422531487,md5:e2aeaeba76f62eaf331347afae66aa11,https://zenodo.org/api/records/19367714/files/loc_diablo_1_rosbag.zip/content
loc_diablo_2.zip,819054136,md5:95a648dbe1a22e901086588c870b67b1,https://zenodo.org/api/records/19367714/files/loc_diablo_2.zip/content
loc_diablo_2_rosbag.zip,872254061,md5:3fc9e47b9fe4d36ecb179c7bbeed6f42,https://zenodo.org/api/records/19367714/files/loc_diablo_2_rosbag.zip/content
loc_diablo_3.zip,1135335735,md5:ba3a0395491a8762066e9fe989de154a,https://zenodo.org/api/records/19367714/files/loc_diablo_3.zip/content
loc_diablo_3_rosbag.zip,1213999692,md5:dbb67560f39c4aa426f47b4f3627566a,https://zenodo.org/api/records/19367714/files/loc_diablo_3_rosbag.zip/content
loc_diablo_4.zip,1231020204,md5:f42d0d91212158be736a247b07fb9724,https://zenodo.org/api/records/19367714/files/loc_diablo_4.zip/content
loc_diablo_4_rosbag.zip,1069646773,md5:85c927c6f703bea4fae6ba63b2fef7da,https://zenodo.org/api/records/19367714/files/loc_diablo_4_rosbag.zip/content
loc_diablo_5.zip,1207491428,md5:08542adad1c870d57e022a4bd83f3a24,https://zenodo.org/api/records/19367714/files/loc_diablo_5.zip/content
loc_diablo_5_rosbag.zip,1305275502,md5:c6b6c031be45ae69eaa40825213d7921,https://zenodo.org/api/records/19367714/files/loc_diablo_5_rosbag.zip/content
loc_diablo_6.zip,977544085,md5:749d6177dca1df7f2a7c85dafb6aa8c0,https://zenodo.org/api/records/19367714/files/loc_diablo_6.zip/content
loc_diablo_6_rosbag.zip,1032352381,md5:50adddaa50440af72f1e8013baafd34d,https://zenodo.org/api/records/19367714/files/loc_diablo_6_rosbag.zip/content
loc_diablo_7.zip,765105168,md5:8ca07e7cf66dfd066819f38c4dd4b34a,https://zenodo.org/api/records/19367714/files/loc_diablo_7.zip/content
loc_diablo_7_rosbag.zip,648740809,md5:72834c8014eb64bdaa6c9e122aac3b88,https://zenodo.org/api/records/19367714/files/loc_diablo_7_rosbag.zip/content
loc_diablo_8.zip,1682037151,md5:24d9c3ca50f2a2163f08f49793b4188c,https://zenodo.org/api/records/19367714/files/loc_diablo_8.zip/content
loc_diablo_8_rosbag.zip,1829697003,md5:ef4afc5d2aefe48007867b161a9c3531,https://zenodo.org/api/records/19367714/files/loc_diablo_8_rosbag.zip/content
loc_handheld_1.zip,1084806760,md5:533a939ec1c9b104ac0a65ac5201d1f8,https://zenodo.org/api/records/19367714/files/loc_handheld_1.zip/content
loc_handheld_1_rosbag.zip,1138341392,md5:53bc22a255f8b67c9a4e593aac84feaa,https://zenodo.org/api/records/19367714/files/loc_handheld_1_rosbag.zip/content
