deployment,map_experiment_id,query_experiment_id,overlap_status,failure_reason,total_covered_duration_s,coverage_fraction,eligible_nonoverlapping_5s_interval_count,query_count,covered_query_count
Campus,20220715-1,20220715-2,FAIL,,51.0,0.5425531914893617,9,94,51
Campus,20220715-1,20220715-3,FAIL,,0.0,0.0,0,70,0
Campus,20220715-1,20220715-4,PASS,,221.0,1.0,43,221,221
Campus,20220715-2,20220715-1,PASS,,151.0,1.0,30,151,151
Campus,20220715-2,20220715-3,FAIL,,47.0,0.6714285714285714,8,70,47
Campus,20220715-2,20220715-4,PASS,,221.0,1.0,43,221,221
Campus,20220715-3,20220715-1,FAIL,,0.0,0.0,0,151,0
Campus,20220715-3,20220715-2,FAIL,,43.0,0.4574468085106383,8,94,43
Campus,20220715-3,20220715-4,FAIL,,0.0,0.0,0,221,0
Campus,20220715-4,20220715-1,PASS,,151.0,1.0,30,151,151
Campus,20220715-4,20220715-2,FAIL,,40.0,0.425531914893617,7,94,40
Campus,20220715-4,20220715-3,FAIL,,0.0,0.0,0,70,0
Tunnel,20220717-1,20220717-2,NOT_COMPUTABLE,EMPTY_OR_MISSING_REFERENCE_PRISM_FILE,,,,,
Tunnel,20220717-1,20220717-3,NOT_COMPUTABLE,EMPTY_OR_MISSING_REFERENCE_PRISM_FILE,,,,,
Tunnel,20220717-1,20220717-4,NOT_COMPUTABLE,EMPTY_OR_MISSING_REFERENCE_PRISM_FILE,,,,,
Tunnel,20220717-1,20220717-5,NOT_COMPUTABLE,EMPTY_OR_MISSING_REFERENCE_PRISM_FILE,,,,,
Tunnel,20220717-2,20220717-1,NOT_COMPUTABLE,EMPTY_OR_MISSING_REFERENCE_PRISM_FILE,,,,,
Tunnel,20220717-2,20220717-3,PASS,,376.0,1.0,70,376,376
Tunnel,20220717-2,20220717-4,PASS,,517.0,1.0,100,517,517
Tunnel,20220717-2,20220717-5,PASS,,185.0,1.0,37,185,185
Tunnel,20220717-3,20220717-1,NOT_COMPUTABLE,EMPTY_OR_MISSING_REFERENCE_PRISM_FILE,,,,,
Tunnel,20220717-3,20220717-2,PASS,,441.0,1.0,83,441,441
Tunnel,20220717-3,20220717-4,PASS,,517.0,1.0,100,517,517
Tunnel,20220717-3,20220717-5,PASS,,185.0,1.0,37,185,185
Tunnel,20220717-4,20220717-1,NOT_COMPUTABLE,EMPTY_OR_MISSING_REFERENCE_PRISM_FILE,,,,,
Tunnel,20220717-4,20220717-2,PASS,,441.0,1.0,83,441,441
Tunnel,20220717-4,20220717-3,PASS,,376.0,1.0,70,376,376
Tunnel,20220717-4,20220717-5,PASS,,185.0,1.0,37,185,185
Tunnel,20220717-5,20220717-1,NOT_COMPUTABLE,EMPTY_OR_MISSING_REFERENCE_PRISM_FILE,,,,,
Tunnel,20220717-5,20220717-2,PASS,,325.0,0.7369614512471655,62,441,325
Tunnel,20220717-5,20220717-3,PASS,,296.0,0.7872340425531915,55,376,296
Tunnel,20220717-5,20220717-4,PASS,,345.0,0.6673114119922631,67,517,345
