snapshot_id,scene_variant,geometry_seed,measurement_seed,repeat_index,condition,source_point_count,target_point_count,source_raw_checksum,target_raw_checksum,reference_pose_raw_checksum,parent_index_raw_checksum,snapshot_checksum,parent_index_unique_count,parent_index_out_of_range_count,parent_index_duplicate_count,lineage_violation_count,source_inverse_transform_pass,source_all_finite,target_all_finite,reference_pose_all_finite,reference_rotation_determinant,reference_rotation_orthogonality_defect_fro,reference_rotation_quality_pass,reconstruction_error_median_m,reconstruction_error_q95_m,reconstruction_error_max_m,predicted_quantization_median_m,predicted_quantization_q95_m,predicted_quantization_max_m,closure_residual_max_m,float64_guard_max_m,max_normalized_closure_ratio,closure_residual_violation_count,actual_error_bound_violation_count,quantization_closure_pass,raw_checksum_pass,file_checksum_pass,metadata_checksum_pass,snapshot_checksum_pass,metadata_statistics_match
phase-a-v1/GEOMETRY_RICH_ROOM/0/0/0,GEOMETRY_RICH_ROOM,1850310744,217775206,0,IDEAL_MATCHED,33218,44214,ef57f690bb717b93404c87769ea8c3d9ba259fc77c109f199b5d0b8cbab1443c,dd567e90b8bbee1fe577f745911bf07537a01f9745806a11fdabc62d5b9c9903,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,09934ec681793f7405e880c596a1f1eba09c5ad4e3228ee02bb19461cd73c656,418efa02e758b74c96d12fbb345f467ea28e8e6083e2a995f48cb299c9364000,33218,0,0,0,True,True,True,True,1.0,0.0,True,0.0,2.0489096641540527e-08,5.960464477539063e-08,0.0,2.0489096641540527e-08,5.960464477539063e-08,0.0,4.973501627682783e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/0/1,GEOMETRY_RICH_ROOM,1850310744,217775206,1,IDEAL_MATCHED,33046,44214,14366d2877f2d2ee6ea36c5d419b15c39f48af892e93932659c876c9e3421cc2,dd567e90b8bbee1fe577f745911bf07537a01f9745806a11fdabc62d5b9c9903,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,3b7e94947ee3c9140d65520fa1122e2c496ee3af2f68cc3759a712a4839181be,fe6049f0726084f200676de9b916a919388bfb8b161675ee633a163cbae8bd0a,33046,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.973501627682783e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/0/2,GEOMETRY_RICH_ROOM,1850310744,217775206,2,IDEAL_MATCHED,33225,44214,75bb4c68280aaf455a5f9013c5425c817bcc2ca25644a74effb9cb5d4c0109c2,dd567e90b8bbee1fe577f745911bf07537a01f9745806a11fdabc62d5b9c9903,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,8f0c9d06207c47aa1050ff851134d047f2c7b5bf3cd18af12738c9301891188b,ee2e6dd7e6224f0b801916052047c4bc2fca683129aeba28223f88727f9e7912,33225,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.97133977684944e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/0/3,GEOMETRY_RICH_ROOM,1850310744,217775206,3,IDEAL_MATCHED,33113,44214,6e86c04c5dad618f79663ebda10b2c28651ca7aeeab500037cc345789c7e7ef8,dd567e90b8bbee1fe577f745911bf07537a01f9745806a11fdabc62d5b9c9903,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,968787ba82776e6cf7132cdca46167612ab2bc2a6f8a6ef82e8b921dad50f9f3,b8696a2ce89df86ced941c3d9fc4ce46e3a3cd8b4ee4a13be3cde62958e08eba,33113,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.973501627682783e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/0/4,GEOMETRY_RICH_ROOM,1850310744,217775206,4,IDEAL_MATCHED,33195,44214,0faa8aefbe85ce8eb4ce26eb0cb311b6d01cc4b4622c087da6d4d3b858825381,dd567e90b8bbee1fe577f745911bf07537a01f9745806a11fdabc62d5b9c9903,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,1116151b03f6ea8c6dd02daf1b517c0203dbce6b55f285cb1f1b128dd8f1f31e,29f6aeee15e1a6f3338d8033494c907a3d8e4249f378d3da6adfa4d67b2b622b,33195,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.973501627682783e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/1/0,GEOMETRY_RICH_ROOM,1850310744,1664898153,0,IDEAL_MATCHED,33239,44214,149434e2e22ce51b83e37da26c60abdb6ad87599b8ef7b36335c033518111970,dd567e90b8bbee1fe577f745911bf07537a01f9745806a11fdabc62d5b9c9903,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,08b6c30f8b600e95c387648ac5284348e384674bfaabf5e87a1bcfcf8705a7c3,5c35899c8f9e66f431298eaac5ed17403800561cc3ed957747e38ddc33496936,33239,0,0,0,True,True,True,True,1.0,0.0,True,0.0,2.0489096641540527e-08,5.960464477539063e-08,0.0,2.0489096641540527e-08,5.960464477539063e-08,0.0,4.969956768222848e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/1/1,GEOMETRY_RICH_ROOM,1850310744,1664898153,1,IDEAL_MATCHED,33173,44214,7a80d5d11be075c51215d47256053cde4a83ca51d30f3fff3e54bb62104fd412,dd567e90b8bbee1fe577f745911bf07537a01f9745806a11fdabc62d5b9c9903,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,2f12d033b707ae374f9a59817b550c4bebc3d04869111c0997ecddc08951f98c,ae3b62cfb1b8e8e436216e181c6b1910313531fa1f114e8049e345339bd51c86,33173,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.973501627682783e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/1/2,GEOMETRY_RICH_ROOM,1850310744,1664898153,2,IDEAL_MATCHED,33175,44214,4ce42364aa5e3da9a8adfed4d442f00298dd43b11d9f3248d8f21b8203deaf73,dd567e90b8bbee1fe577f745911bf07537a01f9745806a11fdabc62d5b9c9903,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,39b568b5e1fd8a83dec1dc08f0d8a509f09cbd9f76417f2f90b7c3454bc1d408,8a9238c3f30eca2b343fe18b8381d44453debcdaffcc0638edcdafc349a71b88,33175,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.97133977684944e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/1/3,GEOMETRY_RICH_ROOM,1850310744,1664898153,3,IDEAL_MATCHED,33149,44214,e19001618f4a9623632085f0e1c0e95e70b1d5f10697a03e2b5b0169c61f4126,dd567e90b8bbee1fe577f745911bf07537a01f9745806a11fdabc62d5b9c9903,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,7cde7562079af3559bd7c0df91acca0fabbac72e0cbbe94310a545032e5295d5,928b6699b22d855699af864edacb60f1aba6d4b37d6837cb121a84fd9f351cd0,33149,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.97133977684944e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/0/1/4,GEOMETRY_RICH_ROOM,1850310744,1664898153,4,IDEAL_MATCHED,33182,44214,2977334d39d4dbe8628aa31be228253bf41898c8a03d1ce3d054a88aa954ee69,dd567e90b8bbee1fe577f745911bf07537a01f9745806a11fdabc62d5b9c9903,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,968471c35744e4c978f88748397ae4c669943b78a27f2b24625c5360e365d92d,692d6c513f94e95b302875ed6a372d1f2ad97295245e391053091f28d026d95a,33182,0,0,0,True,True,True,True,1.0,0.0,True,0.0,2.0489096641540527e-08,5.960464477539063e-08,0.0,2.0489096641540527e-08,5.960464477539063e-08,0.0,4.969956768222848e-13,0.0,0,0,True,True,True,True,True,True
