backend,backend_label,scene_id,scene_label,geometry_group,endpoint,scene_median,scene_q25,scene_q75,scene_q95,S01_median,S02_median,S03_median,source_path,source_sha256
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_R01,R01,Rich,translation_norm_m,0.545893126506504,0.396059782447216,0.746564193935997,1.25801517126689,0.856000283583276,0.534667859979941,0.417982886126078,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_station_summaries.csv,888fb5f8d336b1cb62f0671a9f18ca73e178663c88ea69c48838f536094bd532;9397d9814807a472206a30cb003c804d326980483bd1a8d5dc2deda8d203b847
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_R02,R02,Rich,translation_norm_m,0.371612171039911,0.21876363439858,0.499817323433539,0.754608698289402,0.398261580844893,0.596581876802316,0.222965678196653,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_station_summaries.csv,888fb5f8d336b1cb62f0671a9f18ca73e178663c88ea69c48838f536094bd532;9397d9814807a472206a30cb003c804d326980483bd1a8d5dc2deda8d203b847
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_R03,R03,Rich,translation_norm_m,0.63265644328679,0.446035956634304,0.732165991927889,1.05669221812732,0.502754307696625,0.656938325675035,0.715399300655953,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_station_summaries.csv,888fb5f8d336b1cb62f0671a9f18ca73e178663c88ea69c48838f536094bd532;9397d9814807a472206a30cb003c804d326980483bd1a8d5dc2deda8d203b847
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_W01,W01,Weak,translation_norm_m,0.475640605584782,0.340970957969579,0.720604277630104,0.907400481846402,0.485182963038121,0.459663141155043,0.492549467669658,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_station_summaries.csv,888fb5f8d336b1cb62f0671a9f18ca73e178663c88ea69c48838f536094bd532;9397d9814807a472206a30cb003c804d326980483bd1a8d5dc2deda8d203b847
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_W02,W02,Weak,translation_norm_m,0.519545344748416,0.403807432695025,0.69868209845467,1.00611770556585,0.390065105007528,0.692983676131481,0.506692938677043,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_station_summaries.csv,888fb5f8d336b1cb62f0671a9f18ca73e178663c88ea69c48838f536094bd532;9397d9814807a472206a30cb003c804d326980483bd1a8d5dc2deda8d203b847
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_W03,W03,Weak,translation_norm_m,0.657337102785455,0.524822813187745,0.81736669341585,1.12496530279715,0.778694407319209,0.528850697051181,0.699699833804938,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_station_summaries.csv,888fb5f8d336b1cb62f0671a9f18ca73e178663c88ea69c48838f536094bd532;9397d9814807a472206a30cb003c804d326980483bd1a8d5dc2deda8d203b847
PCL_POINT_TO_PLANE,PCL,FMB1_R01,R01,Rich,translation_norm_m,0.514950034147303,0.383411837824835,0.718973143033239,1.32418845186206,0.98138493059541,0.514821778874063,0.388433222214613,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_station_summaries.csv,888fb5f8d336b1cb62f0671a9f18ca73e178663c88ea69c48838f536094bd532;9397d9814807a472206a30cb003c804d326980483bd1a8d5dc2deda8d203b847
PCL_POINT_TO_PLANE,PCL,FMB1_R02,R02,Rich,translation_norm_m,0.381132152794795,0.221731080335904,0.467503041869173,0.754678614230098,0.387536868974523,0.618730142964575,0.213086738645266,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_station_summaries.csv,888fb5f8d336b1cb62f0671a9f18ca73e178663c88ea69c48838f536094bd532;9397d9814807a472206a30cb003c804d326980483bd1a8d5dc2deda8d203b847
PCL_POINT_TO_PLANE,PCL,FMB1_R03,R03,Rich,translation_norm_m,0.626118509972923,0.417895019660687,0.688178861091917,1.13339003660478,0.504549048977844,0.640113107067852,0.661456965732708,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_station_summaries.csv,888fb5f8d336b1cb62f0671a9f18ca73e178663c88ea69c48838f536094bd532;9397d9814807a472206a30cb003c804d326980483bd1a8d5dc2deda8d203b847
PCL_POINT_TO_PLANE,PCL,FMB1_W01,W01,Weak,translation_norm_m,0.461941019911616,0.35421073041034,0.668626763958291,0.858124907968086,0.433079297333637,0.43140235920833,0.484212840469052,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_station_summaries.csv,888fb5f8d336b1cb62f0671a9f18ca73e178663c88ea69c48838f536094bd532;9397d9814807a472206a30cb003c804d326980483bd1a8d5dc2deda8d203b847
