identifier,scene_id,scene_label,station_id,geometry_group,open3d_translation_zpru_mm,pcl_translation_zpru_mm,frozen_station_spearman_rho,source_path,source_sha256
FMB1_R01_S01,FMB1_R01,R01,S01,Rich,0.8560002835832,0.9813849305954,0.991744066047472,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_station_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,a7359abc8af9c00633b3928766a418a3dd39e9a63fce63b9608b1b3be5618463;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_R01_S02,FMB1_R01,R01,S02,Rich,0.5346678599799,0.514821778874,0.991744066047472,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_station_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,a7359abc8af9c00633b3928766a418a3dd39e9a63fce63b9608b1b3be5618463;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_R01_S03,FMB1_R01,R01,S03,Rich,0.417982886126,0.3884332222146,0.991744066047472,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_station_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,a7359abc8af9c00633b3928766a418a3dd39e9a63fce63b9608b1b3be5618463;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_R02_S01,FMB1_R02,R02,S01,Rich,0.3982615808448,0.3875368689745,0.991744066047472,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_station_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,a7359abc8af9c00633b3928766a418a3dd39e9a63fce63b9608b1b3be5618463;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_R02_S02,FMB1_R02,R02,S02,Rich,0.5965818768023,0.6187301429645,0.991744066047472,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_station_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,a7359abc8af9c00633b3928766a418a3dd39e9a63fce63b9608b1b3be5618463;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_R02_S03,FMB1_R02,R02,S03,Rich,0.2229656781966,0.2130867386452,0.991744066047472,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_station_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,a7359abc8af9c00633b3928766a418a3dd39e9a63fce63b9608b1b3be5618463;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_R03_S01,FMB1_R03,R03,S01,Rich,0.5027543076966,0.5045490489778,0.991744066047472,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_station_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,a7359abc8af9c00633b3928766a418a3dd39e9a63fce63b9608b1b3be5618463;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_R03_S02,FMB1_R03,R03,S02,Rich,0.656938325675,0.6401131070678,0.991744066047472,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_station_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,a7359abc8af9c00633b3928766a418a3dd39e9a63fce63b9608b1b3be5618463;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_R03_S03,FMB1_R03,R03,S03,Rich,0.7153993006559,0.6614569657327,0.991744066047472,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_station_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,a7359abc8af9c00633b3928766a418a3dd39e9a63fce63b9608b1b3be5618463;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_W01_S01,FMB1_W01,W01,S01,Weak,0.4851829630381,0.4330792973336,0.991744066047472,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_station_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,a7359abc8af9c00633b3928766a418a3dd39e9a63fce63b9608b1b3be5618463;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_W01_S02,FMB1_W01,W01,S02,Weak,0.459663141155,0.4314023592083,0.991744066047472,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_station_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,a7359abc8af9c00633b3928766a418a3dd39e9a63fce63b9608b1b3be5618463;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_W01_S03,FMB1_W01,W01,S03,Weak,0.4925494676696,0.484212840469,0.991744066047472,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_station_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,a7359abc8af9c00633b3928766a418a3dd39e9a63fce63b9608b1b3be5618463;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_W02_S01,FMB1_W02,W02,S01,Weak,0.3900651050075,0.3633292563658,0.991744066047472,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_station_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,a7359abc8af9c00633b3928766a418a3dd39e9a63fce63b9608b1b3be5618463;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_W02_S02,FMB1_W02,W02,S02,Weak,0.6929836761314,0.6312010879968,0.991744066047472,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_station_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,a7359abc8af9c00633b3928766a418a3dd39e9a63fce63b9608b1b3be5618463;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_W02_S03,FMB1_W02,W02,S03,Weak,0.506692938677,0.4868830788127,0.991744066047472,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_station_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,a7359abc8af9c00633b3928766a418a3dd39e9a63fce63b9608b1b3be5618463;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_W03_S01,FMB1_W03,W03,S01,Weak,0.7786944073192,0.7843940311735,0.991744066047472,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_station_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,a7359abc8af9c00633b3928766a418a3dd39e9a63fce63b9608b1b3be5618463;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
