backend,backend_label,scene_id,scene_label,geometry_group,scene_median_correspondence_turnover,scene_median_translation_zpru_mm,frozen_spearman_rho,descriptive_spearman_p,source_path,source_sha256
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_R01,R01,Rich,0.0348151910904293,0.545893126506504,0.714285714285714,0.110787172011662,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,47bbee5a140025377c3818776504ddbbb2447c6ea4bf38d66551c6e627f4da1e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_R02,R02,Rich,0.0263087975620607,0.371612171039911,0.714285714285714,0.110787172011662,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,47bbee5a140025377c3818776504ddbbb2447c6ea4bf38d66551c6e627f4da1e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_R03,R03,Rich,0.0539893648238774,0.63265644328679,0.714285714285714,0.110787172011662,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,47bbee5a140025377c3818776504ddbbb2447c6ea4bf38d66551c6e627f4da1e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_W01,W01,Weak,0.0387035788258866,0.475640605584782,0.714285714285714,0.110787172011662,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,47bbee5a140025377c3818776504ddbbb2447c6ea4bf38d66551c6e627f4da1e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_W02,W02,Weak,0.0353665974903231,0.519545344748416,0.714285714285714,0.110787172011662,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,47bbee5a140025377c3818776504ddbbb2447c6ea4bf38d66551c6e627f4da1e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_W03,W03,Weak,0.0397386997508047,0.657337102785455,0.714285714285714,0.110787172011662,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,47bbee5a140025377c3818776504ddbbb2447c6ea4bf38d66551c6e627f4da1e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
PCL_POINT_TO_PLANE,PCL,FMB1_R01,R01,Rich,0.0373875905124155,0.514950034147303,0.885714285714286,0.0188454810495627,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,47bbee5a140025377c3818776504ddbbb2447c6ea4bf38d66551c6e627f4da1e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
PCL_POINT_TO_PLANE,PCL,FMB1_R02,R02,Rich,0.0252059695841989,0.381132152794795,0.885714285714286,0.0188454810495627,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,47bbee5a140025377c3818776504ddbbb2447c6ea4bf38d66551c6e627f4da1e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
PCL_POINT_TO_PLANE,PCL,FMB1_R03,R03,Rich,0.0514785910003855,0.626118509972923,0.885714285714286,0.0188454810495627,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,47bbee5a140025377c3818776504ddbbb2447c6ea4bf38d66551c6e627f4da1e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
PCL_POINT_TO_PLANE,PCL,FMB1_W01,W01,Weak,0.0366194391762213,0.461941019911616,0.885714285714286,0.0188454810495627,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,47bbee5a140025377c3818776504ddbbb2447c6ea4bf38d66551c6e627f4da1e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
