assigned_rich_scene_ids,assigned_weak_scene_ids,backend,endpoint,greater_than_or_equal_observed,observed_allocation,statistic,allocation_index,observed_statistic_deg,exact_one_sided_p,source_path,source_sha256
"[""FMB1_W01"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_R03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.003238022117932,1,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R03"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W01""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,-0.0007160486472132,2,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,-0.0020332667689071,3,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0007160486472132,4,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R02"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W01""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0045552402396259,5,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.003238022117932,6,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0045552402396259,7,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,-0.0007160486472132,8,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0020332667689071,9,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W01""]","[""FMB1_R01"", ""FMB1_W02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0007160486472132,10,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
