backend,backend_label,scene_id,scene_label,geometry_group,endpoint,scene_median,scene_q25,scene_q75,scene_q95,S01_median,S02_median,S03_median,source_path,source_sha256
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_R01,R01,Rich,rotation_angle_deg,0.011920531709578,0.00773329096635248,0.0300420010026437,0.052755535313268,0.0388467915647266,0.011920531709578,0.00700873220440933,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,c5bdbbad64986da97bff9f6fd07879dfa6b6dbdf6140d0ba82660bd1b456483a;703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_R02,R02,Rich,rotation_angle_deg,0.00689340992005044,0.00433423612727541,0.0112850844936333,0.0136680122044118,0.00729696829050729,0.00888249492644761,0.00627213854291778,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,c5bdbbad64986da97bff9f6fd07879dfa6b6dbdf6140d0ba82660bd1b456483a;703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_R03,R03,Rich,rotation_angle_deg,0.0157338365387014,0.00800275016013388,0.0277056113599292,0.0342935256565531,0.00755796837572117,0.0157338365387014,0.0304723311537416,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,c5bdbbad64986da97bff9f6fd07879dfa6b6dbdf6140d0ba82660bd1b456483a;703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_W01,W01,Weak,rotation_angle_deg,0.00868250959164593,0.00675113315389097,0.0136011441849709,0.0186109318086208,0.0131910854370677,0.00714575804209459,0.0102085989731271,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,c5bdbbad64986da97bff9f6fd07879dfa6b6dbdf6140d0ba82660bd1b456483a;703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_W02,W02,Weak,rotation_angle_deg,0.00736529146995204,0.00521191054816794,0.00924094739031341,0.0140059585375366,0.00508407480746565,0.00759627278109063,0.007958894169969,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,c5bdbbad64986da97bff9f6fd07879dfa6b6dbdf6140d0ba82660bd1b456483a;703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
OPEN3D_POINT_TO_PLANE,Open3D,FMB1_W03,W03,Weak,rotation_angle_deg,0.00939855823885923,0.00669010444142077,0.0130099972662735,0.0153107409106683,0.00826540708149405,0.0113353154025901,0.0075516359830064,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,c5bdbbad64986da97bff9f6fd07879dfa6b6dbdf6140d0ba82660bd1b456483a;703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,PCL,FMB1_R01,R01,Rich,rotation_angle_deg,0.0111901482093756,0.00724479649526902,0.0276146785978263,0.0600981759729544,0.0468408069773388,0.0110784129291881,0.00602921256638583,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,c5bdbbad64986da97bff9f6fd07879dfa6b6dbdf6140d0ba82660bd1b456483a;703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,PCL,FMB1_R02,R02,Rich,rotation_angle_deg,0.00725754663285955,0.00417382037097141,0.0111794209164106,0.0133841943474307,0.0071573043414957,0.00921561329924727,0.00683759552853082,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,c5bdbbad64986da97bff9f6fd07879dfa6b6dbdf6140d0ba82660bd1b456483a;703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,PCL,FMB1_R03,R03,Rich,rotation_angle_deg,0.0142015732965298,0.00820833617611759,0.0248246552964256,0.032466901310194,0.00769215183616364,0.0142015732965298,0.0257448875153064,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,c5bdbbad64986da97bff9f6fd07879dfa6b6dbdf6140d0ba82660bd1b456483a;703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,PCL,FMB1_W01,W01,Weak,rotation_angle_deg,0.00961970475589693,0.00622087736162668,0.012814710025562,0.0175308709059759,0.0126067564314181,0.00803117825901555,0.00989182258675542,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_scene_summaries.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,c5bdbbad64986da97bff9f6fd07879dfa6b6dbdf6140d0ba82660bd1b456483a;703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
