planned_snapshot_id,scene_variant,condition,geometry_seed,measurement_seed,repeat_index,planned_backend_count,replicate_semantics
synthetic-confirmatory-v2::1abf5322f54937138fabab9bd7f9c7845a7ea4a5a318d689761b8e353940d8c0,GEOMETRY_RICH_ROOM,IDEAL_MATCHED,1632408808,,0,2,ONE_CONTROL_INPUT
synthetic-confirmatory-v2::4ce85ace3c8187d4e2ccbb68a68dae25711c66dce52765bf526f8ba2524a557e,GEOMETRY_RICH_ROOM,INDEPENDENT_NOISE_FREE,1632408808,,0,2,ONE_DETERMINISTIC_INDEPENDENT_INPUT
synthetic-confirmatory-v2::fb8e024473290e3e146ec45b61a74ed63c6c567289b0b1069dd95d384a1e07c5,GEOMETRY_RICH_ROOM,FULL_NOISE,1632408808,740417430,0,2,FIFTEEN_STOCHASTIC_INPUTS_PER_SCENE_GEOMETRY
synthetic-confirmatory-v2::eb620de4443e1557042f75f847b3f3062a171c5696aaab95b61e363d6f330acc,GEOMETRY_RICH_ROOM,FULL_NOISE,1632408808,740417430,1,2,FIFTEEN_STOCHASTIC_INPUTS_PER_SCENE_GEOMETRY
synthetic-confirmatory-v2::9dce0e815ad49172a889626ab36bb3a325fc13c5a662bab5b2addb66b41ea079,GEOMETRY_RICH_ROOM,FULL_NOISE,1632408808,740417430,2,2,FIFTEEN_STOCHASTIC_INPUTS_PER_SCENE_GEOMETRY
synthetic-confirmatory-v2::b66f12a0581d1ce12391f80d1d2074f415c9afc20a9417c04e1a31e750d2e1d7,GEOMETRY_RICH_ROOM,FULL_NOISE,1632408808,740417430,3,2,FIFTEEN_STOCHASTIC_INPUTS_PER_SCENE_GEOMETRY
synthetic-confirmatory-v2::a5af2468aeac0348f5e4108d99c08a866bee5fed3725210dce98a30fee82fc75,GEOMETRY_RICH_ROOM,FULL_NOISE,1632408808,740417430,4,2,FIFTEEN_STOCHASTIC_INPUTS_PER_SCENE_GEOMETRY
synthetic-confirmatory-v2::e1f2d3e9e3de3448d84d13a58214abb0738515e808b0e21a0c823be782ecaecc,GEOMETRY_RICH_ROOM,FULL_NOISE,1632408808,23963997,0,2,FIFTEEN_STOCHASTIC_INPUTS_PER_SCENE_GEOMETRY
synthetic-confirmatory-v2::3d25f02f31de1cc83c6308df7300f3efeb58eed077b0fb975eb4fc2eceb1b026,GEOMETRY_RICH_ROOM,FULL_NOISE,1632408808,23963997,1,2,FIFTEEN_STOCHASTIC_INPUTS_PER_SCENE_GEOMETRY
synthetic-confirmatory-v2::75eeadf54dd904efd9e50945406dc0de4f81f96ed77ed10f25f4326bd00f21e1,GEOMETRY_RICH_ROOM,FULL_NOISE,1632408808,23963997,2,2,FIFTEEN_STOCHASTIC_INPUTS_PER_SCENE_GEOMETRY
synthetic-confirmatory-v2::9dd2cc10abca954bc416d0983ea1787e8f1e90d7b24b4585bab868f27e013bca,GEOMETRY_RICH_ROOM,FULL_NOISE,1632408808,23963997,3,2,FIFTEEN_STOCHASTIC_INPUTS_PER_SCENE_GEOMETRY
