run_id,scene_id,scene_class,snapshot_id,backend,source_file,source_file_sha256,source_array_sha256,target_file,target_file_sha256,target_array_sha256,backend_contract_sha256,geometry_lambda_min,geometry_lambda_mid,geometry_lambda_max,geometry_condition_number,geometry_entropy,direction_class,direction_vector_x,direction_vector_y,direction_vector_z,direction_source,direction_frame,perturbation_sign,perturbation_magnitude_m,perturbation_vector_x_m,perturbation_vector_y_m,perturbation_vector_z_m,T_star,T_initial,transform_convention,perturbation_composition,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,NO_OBVIOUS_MOTION,ACCELERATION_UNIT_UNKNOWN,POINT_COORDINATE_UNIT_STATUS,T_est,initial_translation_error_m,final_translation_error_m,initial_rotation_error_deg,final_rotation_error_deg,final_translation_error_vector_x_m,final_translation_error_vector_y_m,final_translation_error_vector_z_m,translation_error_reduction_ratio,solver_success,finite_transform,pose_recovered,fitness,rmse,correspondence_count,iteration_count,runtime_ms,backend_version,failure_reason,capture_phase,execution_origin,new_icp_executed,source_run_id,boundary_iteration,initial_correspondence_count,initial_correspondence_fraction,LOW_INITIAL_OVERLAP,initial_overlap_definition,converged_but_not_recovered,SPATIAL_AXIS_INTERPRETATION,bracket_lower_before_m,bracket_upper_before_m,bracket_lower_after_m,bracket_upper_after_m
CB-COARSE-R_TEST_01_Q01-W-M0050000UM-POS-O3D,R_TEST_01,Rich,R_TEST_01_Q01,open3d,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,weak,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,lambda_min,TARGET_FRAME,1,0.05,0.0496130366664925,-0.005702113308247776,-0.0024561141156663174,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0496130366664925],[0.0,1.0,0.0,-0.005702113308247776],[0.0,0.0,1.0,-0.0024561141156663174],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9999999621292919,1.0083637492958914e-05,-0.0002750267897203138,0.00036639871300626084],[-1.011463346170488e-05,0.9999999935981484,-0.00011270047649949833,-5.056374044425129e-06],[0.0002750256515288829,0.00011270325402662167,0.9999999558294328,0.0005179237010324032],[0.0,0.0,0.0,1.0]]",0.05000000000000001,0.0006344434914964639,0.0,0.01703941492340069,0.00036639871300626084,-5.056374044425129e-06,0.0005179237010324032,0.9873111301700708,true,true,true,0.9999349678090654,0.01989065036640385,15376,,40.29185599938501,0.19.0+b012259,,COARSE,REUSED_PREVIOUS_CONTROLLED_PILOT_50MM,false,CP-R_TEST_01_Q01-W-50MM-POS-O3D,,15376,0.9999349678090654,false,shared 0.50m one-nearest-target association fraction,false,UNRESOLVED,,,,
CB-COARSE-R_TEST_01_Q01-W-M0050000UM-POS-PCL,R_TEST_01,Rich,R_TEST_01_Q01,pcl,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,weak,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,lambda_min,TARGET_FRAME,1,0.05,0.0496130366664925,-0.005702113308247776,-0.0024561141156663174,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0496130366664925],[0.0,1.0,0.0,-0.005702113308247776],[0.0,0.0,1.0,-0.0024561141156663174],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9999999403953552,1.8986671420861967e-05,-0.00016991639859043062,0.0003141610650345683],[-1.8974003978655674e-05,1.0,7.447115785907954e-05,-0.00016903509094845504],[0.000169917824678123,-7.446794188581407e-05,0.9999999403953552,0.0005413724575191736],[0.0,0.0,0.0,1.0]]",0.05000000000000001,0.0006483472638300837,0.0,0.010684978543470676,0.0003141610650345683,-0.00016903509094845504,0.0005413724575191736,0.9870330547233983,true,true,true,0.00039531149759328875,,15376,7,1068.336483,1.15.1,,COARSE,REUSED_PREVIOUS_CONTROLLED_PILOT_50MM,false,CP-R_TEST_01_Q01-W-50MM-POS-PCL,,15376,0.9999349678090654,false,shared 0.50m one-nearest-target association fraction,false,UNRESOLVED,,,,
CB-COARSE-R_TEST_01_Q01-W-M0050000UM-NEG-O3D,R_TEST_01,Rich,R_TEST_01_Q01,open3d,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,weak,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,lambda_min,TARGET_FRAME,-1,0.05,-0.0496130366664925,0.005702113308247776,0.0024561141156663174,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.0496130366664925],[0.0,1.0,0.0,0.005702113308247776],[0.0,0.0,1.0,0.0024561141156663174],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9999999621292914,1.0083638188970213e-05,-0.0002750267900613682,0.0003663987130522461],[-1.0114634158923755e-05,0.9999999935981481,-0.0001127004807505222,-5.056370841238495e-06],[0.0002750256518698157,0.00011270325827784049,0.9999999558294321,0.000517923697528596],[0.0,0.0,0.0,1.0]]",0.05000000000000001,0.0006344434886371826,0.0,0.01703941503513543,0.0003663987130522461,-5.056370841238495e-06,0.000517923697528596,0.9873111302272564,true,true,true,0.9999349678090654,0.01989065036660154,15376,,32.22215099958703,0.19.0+b012259,,COARSE,REUSED_PREVIOUS_CONTROLLED_PILOT_50MM,false,CP-R_TEST_01_Q01-W-50MM-NEG-O3D,,15376,0.9999349678090654,false,shared 0.50m one-nearest-target association fraction,false,UNRESOLVED,,,,
CB-COARSE-R_TEST_01_Q01-W-M0050000UM-NEG-PCL,R_TEST_01,Rich,R_TEST_01_Q01,pcl,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,weak,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,lambda_min,TARGET_FRAME,-1,0.05,-0.0496130366664925,0.005702113308247776,0.0024561141156663174,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.0496130366664925],[0.0,1.0,0.0,0.005702113308247776],[0.0,0.0,1.0,0.0024561141156663174],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[1.0,1.8948549040942453e-05,-0.00016966505791060627,0.00031358408159576356],[-1.8935965272248723e-05,1.0,7.418995664920658e-05,-0.0001690022472757846],[0.00016966646944638342,-7.418672612402588e-05,1.0,0.0005439905798994005],[0.0,0.0,0.0,1.0]]",0.05000000000000001,0.0006502480194770377,0.0,0.010665204190532088,0.00031358408159576356,-0.0001690022472757846,0.0005439905798994005,0.9869950396104592,true,true,true,0.000395311707120297,,15376,8,1081.533596,1.15.1,,COARSE,REUSED_PREVIOUS_CONTROLLED_PILOT_50MM,false,CP-R_TEST_01_Q01-W-50MM-NEG-PCL,,15376,0.9999349678090654,false,shared 0.50m one-nearest-target association fraction,false,UNRESOLVED,,,,
CB-COARSE-R_TEST_01_Q01-S-M0050000UM-POS-O3D,R_TEST_01,Rich,R_TEST_01_Q01,open3d,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,strong,0.11262137474247069,0.993160774305118,-0.030791270398839755,lambda_max,TARGET_FRAME,1,0.05,0.005631068737123535,0.0496580387152559,-0.0015395635199419878,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.005631068737123535],[0.0,1.0,0.0,0.0496580387152559],[0.0,0.0,1.0,-0.0015395635199419878],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9999999622829551,9.958683992105073e-06,-0.00027447206288602554,0.0003671942310780347],[-9.989877355161717e-06,0.9999999934922292,-0.00011364745376587473,-4.131839973039326e-06],[0.0002744709293207457,0.00011365019142167429,0.9999999558746705,0.00051416468239123],[0.0,0.0,0.0,1.0]]",0.05,0.0006318338357962688,0.0,0.017030455662532376,0.0003671942310780347,-4.131839973039326e-06,0.00051416468239123,0.9873633232840746,true,true,true,0.9999349678090654,0.019890640853672828,15376,,39.262233000044944,0.19.0+b012259,,COARSE,REUSED_PREVIOUS_CONTROLLED_PILOT_50MM,false,CP-R_TEST_01_Q01-S-50MM-POS-O3D,,15376,0.9999349678090654,false,shared 0.50m one-nearest-target association fraction,false,UNRESOLVED,,,,
CB-COARSE-R_TEST_01_Q01-S-M0050000UM-POS-PCL,R_TEST_01,Rich,R_TEST_01_Q01,pcl,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,strong,0.11262137474247069,0.993160774305118,-0.030791270398839755,lambda_max,TARGET_FRAME,1,0.05,0.005631068737123535,0.0496580387152559,-0.0015395635199419878,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.005631068737123535],[0.0,1.0,0.0,0.0496580387152559],[0.0,0.0,1.0,-0.0015395635199419878],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[1.0,1.899761991808191e-05,-0.0001699264394119382,0.0003141528577543795],[-1.898502159747295e-05,0.9999998807907104,7.446832751156762e-05,-0.00016901560593396425],[0.00016992782184388489,-7.44651842978783e-05,0.9999999403953552,0.0005412295577116311],[0.0,0.0,0.0,1.0]]",0.05,0.0006482188883588601,0.0,0.010685501565503836,0.0003141528577543795,-0.00016901560593396425,0.0005412295577116311,0.9870356222328228,true,true,true,0.0003953112869762831,,15376,9,1092.291283,1.15.1,,COARSE,REUSED_PREVIOUS_CONTROLLED_PILOT_50MM,false,CP-R_TEST_01_Q01-S-50MM-POS-PCL,,15376,0.9999349678090654,false,shared 0.50m one-nearest-target association fraction,false,UNRESOLVED,,,,
CB-COARSE-R_TEST_01_Q01-S-M0050000UM-NEG-O3D,R_TEST_01,Rich,R_TEST_01_Q01,open3d,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,strong,0.11262137474247069,0.993160774305118,-0.030791270398839755,lambda_max,TARGET_FRAME,-1,0.05,-0.005631068737123535,-0.0496580387152559,0.0015395635199419878,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.005631068737123535],[0.0,1.0,0.0,-0.0496580387152559],[0.0,0.0,1.0,0.0015395635199419878],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9999999621292901,1.0083635582501829e-05,-0.00027502679620759003,0.00036639871829925236],[-1.0114631562227619e-05,0.999999993598144,-0.00011270051376413871,-5.056341564642039e-06],[0.0002750256580159974,0.00011270329129080358,0.9999999558294268,0.0005179236711394734],[0.0,0.0,0.0,1.0]]",0.05,0.000634443469891481,0.0,0.01703941607255204,0.00036639871829925236,-5.056341564642039e-06,0.0005179236711394734,0.9873111306021704,true,true,true,0.9999349678090654,0.019890650367997312,15376,,40.87315300057526,0.19.0+b012259,,COARSE,REUSED_PREVIOUS_CONTROLLED_PILOT_50MM,false,CP-R_TEST_01_Q01-S-50MM-NEG-O3D,,15376,0.9999349678090654,false,shared 0.50m one-nearest-target association fraction,false,UNRESOLVED,,,,
CB-COARSE-R_TEST_01_Q01-S-M0050000UM-NEG-PCL,R_TEST_01,Rich,R_TEST_01_Q01,pcl,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,strong,0.11262137474247069,0.993160774305118,-0.030791270398839755,lambda_max,TARGET_FRAME,-1,0.05,-0.005631068737123535,-0.0496580387152559,0.0015395635199419878,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.005631068737123535],[0.0,1.0,0.0,-0.0496580387152559],[0.0,0.0,1.0,0.0015395635199419878],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9999999403953552,1.8988819647347555e-05,-0.00016991487063933164,0.0003140692424494773],[-1.897619767987635e-05,1.0,7.447722600772977e-05,-0.00016893415886443108],[0.0001699162821751088,-7.447392999893054e-05,0.9999999403953552,0.000541370187420398],[0.0,0.0,0.0,1.0]]",0.05,0.0006482745706192849,0.0,0.010685048985618553,0.0003140692424494773,-0.00016893415886443108,0.000541370187420398,0.9870345085876143,true,true,true,0.000395311493588495,,15376,8,1174.450036,1.15.1,,COARSE,REUSED_PREVIOUS_CONTROLLED_PILOT_50MM,false,CP-R_TEST_01_Q01-S-50MM-NEG-PCL,,15376,0.9999349678090654,false,shared 0.50m one-nearest-target association fraction,false,UNRESOLVED,,,,
CB-COARSE-R_TEST_01_Q02-W-M0050000UM-POS-O3D,R_TEST_01,Rich,R_TEST_01_Q02,open3d,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q02/source_points.npy,58d3d3263669758becf1d84c2ddcd407eadff022434e3c2a2f7e887e4d9b0a81,e233190c9450f497a5343feaf2b90fd5a0928e0593f04b7361ff175e65104eb7,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.25529579402819513,0.2944313204890375,0.45027288548276734,1.763730135847983,0.9719907647526036,weak,0.9765884366231045,-0.10302183452468287,-0.18884259865085973,lambda_min,TARGET_FRAME,1,0.05,0.048829421831155226,-0.005151091726234144,-0.009442129932542988,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.048829421831155226],[0.0,1.0,0.0,-0.005151091726234144],[0.0,0.0,1.0,-0.009442129932542988],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9999999935254512,-6.832116383706391e-05,-9.100173693561539e-05,0.00019562787716080325],[6.829985496782015e-05,0.9999999702564536,-0.0002341414577154031,0.0004254964950588105],[9.10177310457946e-05,0.0002341352407940083,0.9999999684482301,-0.0004110969160975872],[0.0,0.0,0.0,1.0]]",0.05000000000000001,0.0006231518338693399,0.0,0.01491560742302643,0.00019562787716080325,0.0004254964950588105,-0.0004110969160975872,0.9875369633226132,true,true,true,1.0,0.01993528806783956,15372,,35.25436699965212,0.19.0+b012259,,COARSE,REUSED_PREVIOUS_CONTROLLED_PILOT_50MM,false,CP-R_TEST_01_Q02-W-50MM-POS-O3D,,15372,1.0,false,shared 0.50m one-nearest-target association fraction,false,UNRESOLVED,,,,
CB-COARSE-R_TEST_01_Q02-W-M0050000UM-POS-PCL,R_TEST_01,Rich,R_TEST_01_Q02,pcl,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q02/source_points.npy,58d3d3263669758becf1d84c2ddcd407eadff022434e3c2a2f7e887e4d9b0a81,e233190c9450f497a5343feaf2b90fd5a0928e0593f04b7361ff175e65104eb7,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.25529579402819513,0.2944313204890375,0.45027288548276734,1.763730135847983,0.9719907647526036,weak,0.9765884366231045,-0.10302183452468287,-0.18884259865085973,lambda_min,TARGET_FRAME,1,0.05,0.048829421831155226,-0.005151091726234144,-0.009442129932542988,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.048829421831155226],[0.0,1.0,0.0,-0.005151091726234144],[0.0,0.0,1.0,-0.009442129932542988],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[1.0,-0.0001357071741949767,-0.0001805339561542496,0.0002759048074949533],[0.00013566069537773728,1.0,-0.00025749942869879305,0.0005119842826388776],[0.0001805689389584586,0.00025747495237737894,1.0,-0.0003743036650121212],[0.0,0.0,0.0,1.0]]",0.05000000000000001,0.0006916318400056346,0.0,0.019624001334939658,0.0002759048074949533,0.0005119842826388776,-0.0003743036650121212,0.9861673631998873,true,true,true,0.00039731003301356465,,15372,9,1223.561347,1.15.1,,COARSE,REUSED_PREVIOUS_CONTROLLED_PILOT_50MM,false,CP-R_TEST_01_Q02-W-50MM-POS-PCL,,15372,1.0,false,shared 0.50m one-nearest-target association fraction,false,UNRESOLVED,,,,
