run_id,scene_id,scene_class,snapshot_id,backend,source_file,source_file_sha256,source_array_sha256,target_file,target_file_sha256,target_array_sha256,backend_contract_sha256,geometry_lambda_min,geometry_lambda_mid,geometry_lambda_max,geometry_condition_number,geometry_entropy,direction_class,direction_vector_x,direction_vector_y,direction_vector_z,direction_source,direction_frame,perturbation_sign,perturbation_magnitude_m,perturbation_vector_x_m,perturbation_vector_y_m,perturbation_vector_z_m,T_star,T_initial,transform_convention,perturbation_composition,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,NO_OBVIOUS_MOTION,ACCELERATION_UNIT_UNKNOWN,POINT_COORDINATE_UNIT_STATUS,T_est,initial_translation_error_m,final_translation_error_m,initial_rotation_error_deg,final_rotation_error_deg,final_translation_error_vector_x_m,final_translation_error_vector_y_m,final_translation_error_vector_z_m,translation_error_reduction_ratio,solver_success,finite_transform,pose_recovered,fitness,rmse,correspondence_count,iteration_count,runtime_ms,backend_version,failure_reason,capture_phase,execution_origin,new_icp_executed,source_run_id,boundary_iteration,initial_correspondence_count,initial_correspondence_fraction,LOW_INITIAL_OVERLAP,initial_overlap_definition,converged_but_not_recovered,SPATIAL_AXIS_INTERPRETATION,bracket_lower_before_m,bracket_upper_before_m,bracket_lower_after_m,bracket_upper_after_m
CB-BOUNDARY-R_TEST_01_Q01-S-M2800000UM-NEG-O3D-I01,R_TEST_01,Rich,R_TEST_01_Q01,open3d,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,strong,0.11262137474247069,0.993160774305118,-0.030791270398839755,lambda_max,TARGET_FRAME,-1,2.8,-0.3153398492789179,-2.78085016805433,0.08621555711675132,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.3153398492789179],[0.0,1.0,0.0,-2.78085016805433],[0.0,0.0,1.0,0.08621555711675132],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9963627713297463,-0.08368985770479231,0.01603856681438499,0.06869473302319655],[0.08164195089008118,0.9914636628702709,0.10165823657101504,-2.7314887856463725],[-0.024409419554128047,-0.0999790624341842,0.9946900860628969,0.21061391810732033],[0.0,0.0,0.0,1.0]]",2.8,2.740457657939188,0.0,7.581470545575087,0.06869473302319655,-2.7314887856463725,0.21061391810732033,0.021265122164575545,true,true,false,0.32841256421928855,0.24813347507700212,5050,,163.24565800096025,0.19.0+b012259,,BOUNDARY,NEW_BISECTION_BOUNDARY_EXECUTION,true,,1,4491,0.292059569486896,false,shared 0.50m one-nearest-target association fraction,true,UNRESOLVED,2.4,3.2,2.4,2.8
CB-BOUNDARY-R_TEST_01_Q01-S-M2600000UM-NEG-O3D-I02,R_TEST_01,Rich,R_TEST_01_Q01,open3d,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,strong,0.11262137474247069,0.993160774305118,-0.030791270398839755,lambda_max,TARGET_FRAME,-1,2.5999999999999996,-0.29281557433042377,-2.582218013193306,0.08005730303698336,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.29281557433042377],[0.0,1.0,0.0,-2.582218013193306],[0.0,0.0,1.0,0.08005730303698336],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9969293457603763,-0.076044376503754,0.018685083996152704,0.05892280432986713],[0.07431938842092455,0.9940084937988901,0.08014825488057607,-2.7149040666575663],[-0.024667956269778864,-0.07851348328674095,0.9966078089577937,0.16204787032787488],[0.0,0.0,0.0,1.0]]",2.599999999999999,2.7203741471168423,0.0,6.397478251984752,0.05892280432986713,-2.7149040666575663,0.16204787032787488,-0.046297748891093615,true,true,false,0.32587630877284257,0.24753474955681914,5011,,163.204737000342,0.19.0+b012259,,BOUNDARY,NEW_BISECTION_BOUNDARY_EXECUTION,true,,2,4628,0.30096897964492425,false,shared 0.50m one-nearest-target association fraction,true,UNRESOLVED,2.4,2.8,2.4,2.5999999999999996
CB-BOUNDARY-R_TEST_01_Q01-S-M2500000UM-NEG-O3D-I03,R_TEST_01,Rich,R_TEST_01_Q01,open3d,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,strong,0.11262137474247069,0.993160774305118,-0.030791270398839755,lambda_max,TARGET_FRAME,-1,2.5,-0.28155343685617673,-2.482901935762795,0.07697817599709939,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.28155343685617673],[0.0,1.0,0.0,-2.482901935762795],[0.0,0.0,1.0,0.07697817599709939],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9999999621292919,1.0083637002405717e-05,-0.00027502678994139224,0.00036639871332324263],[-1.0114632971710712e-05,0.9999999935981482,-0.00011270047851710074,-5.056372070903635e-06],[0.0002750256517499975,0.00011270325604408155,0.9999999558294324,0.0005179236993630978],[0.0,0.0,0.0,1.0]]",2.5,0.0006344434903010699,0.0,0.017039414977966197,0.00036639871332324263,-5.056372070903635e-06,0.0005179236993630978,0.9997462226038796,true,true,true,0.9999349678090654,0.019890650366470784,15376,,103.86070899949118,0.19.0+b012259,,BOUNDARY,NEW_BISECTION_BOUNDARY_EXECUTION,true,,3,4700,0.30565129739220914,false,shared 0.50m one-nearest-target association fraction,false,UNRESOLVED,2.4,2.5999999999999996,2.5,2.5999999999999996
CB-BOUNDARY-R_TEST_01_Q01-S-M2550000UM-NEG-O3D-I04,R_TEST_01,Rich,R_TEST_01_Q01,open3d,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,strong,0.11262137474247069,0.993160774305118,-0.030791270398839755,lambda_max,TARGET_FRAME,-1,2.55,-0.2871845055933002,-2.5325599744780507,0.07851773951704137,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.2871845055933002],[0.0,1.0,0.0,-2.5325599744780507],[0.0,0.0,1.0,0.07851773951704137],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9999999621292905,1.0083635582424891e-05,-0.00027502679620757637,0.00036639871829999315],[-1.0114631562119901e-05,0.9999999935981442,-0.00011270051376363007,-5.056341564046863e-06],[0.0002750256580160015,0.00011270329129030487,0.9999999558294265,0.0005179236711410281],[0.0,0.0,0.0,1.0]]",2.55,0.0006344434698931733,0.0,0.017039416072538484,0.00036639871829999315,-5.056341564046863e-06,0.0005179236711410281,0.9997511986392575,true,true,true,0.9999349678090654,0.0198906503679973,15376,,136.03283200063743,0.19.0+b012259,,BOUNDARY,NEW_BISECTION_BOUNDARY_EXECUTION,true,,4,4624,0.3007088508811862,false,shared 0.50m one-nearest-target association fraction,false,UNRESOLVED,2.5,2.5999999999999996,2.55,2.5999999999999996
CB-BOUNDARY-R_TEST_01_Q01-S-M2575000UM-NEG-O3D-I05,R_TEST_01,Rich,R_TEST_01_Q01,open3d,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,strong,0.11262137474247069,0.993160774305118,-0.030791270398839755,lambda_max,TARGET_FRAME,-1,2.5749999999999997,-0.290000039961862,-2.5573889938356786,0.07928752127701236,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.290000039961862],[0.0,1.0,0.0,-2.5573889938356786],[0.0,0.0,1.0,0.07928752127701236],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9999999440457221,0.0002188703157986761,-0.00025299078548807495,0.00017568849611659693],[-0.0002189287427983337,0.9999999493683325,-0.00023094055100700135,-9.360856469012952e-05],[0.0002529402266473892,0.00023099592503948106,0.9999999413310606,0.0004213258363726982],[0.0,0.0,0.0,1.0]]",2.5749999999999997,0.00046598763014291626,0.0,0.02329162496020656,0.00017568849611659693,-9.360856469012952e-05,0.0004213258363726982,0.9998190339300416,true,true,true,0.9999349678090654,0.019905649981570264,15376,,150.8361630003492,0.19.0+b012259,,BOUNDARY,NEW_BISECTION_BOUNDARY_EXECUTION,true,,5,4622,0.3005787864993172,false,shared 0.50m one-nearest-target association fraction,false,UNRESOLVED,2.55,2.5999999999999996,2.5749999999999997,2.5999999999999996
CB-BOUNDARY-R_TEST_01_Q01-S-M2800000UM-POS-O3D-I01,R_TEST_01,Rich,R_TEST_01_Q01,open3d,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,strong,0.11262137474247069,0.993160774305118,-0.030791270398839755,lambda_max,TARGET_FRAME,1,2.8,0.3153398492789179,2.78085016805433,-0.08621555711675132,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.3153398492789179],[0.0,1.0,0.0,2.78085016805433],[0.0,0.0,1.0,-0.08621555711675132],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9999999622829552,9.958683643854399e-06,-0.0002744720607112619,0.00036719422935372286],[-9.989876991606831e-06,0.9999999934922351,-0.00011364739882216433,-4.13188620813707e-06],[0.0002744709271465566,0.00011365013647783183,0.9999999558746776,0.0005141647285708743],[0.0,0.0,0.0,1.0]]",2.8,0.0006318338726759371,0.0,0.017030454343161215,0.00036719422935372286,-4.13188620813707e-06,0.0005141647285708743,0.9997743450454729,true,true,true,0.9999349678090654,0.019890640851503067,15376,,120.66929100001289,0.19.0+b012259,,BOUNDARY,NEW_BISECTION_BOUNDARY_EXECUTION,true,,1,6144,0.3995577811016453,false,shared 0.50m one-nearest-target association fraction,false,UNRESOLVED,2.4,3.2,2.8,3.2
CB-BOUNDARY-R_TEST_01_Q01-S-M3000000UM-POS-O3D-I02,R_TEST_01,Rich,R_TEST_01_Q01,open3d,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,strong,0.11262137474247069,0.993160774305118,-0.030791270398839755,lambda_max,TARGET_FRAME,1,3.0,0.3378641242274121,2.979482322915354,-0.09237381119651927,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.3378641242274121],[0.0,1.0,0.0,2.979482322915354],[0.0,0.0,1.0,-0.09237381119651927],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9999999683547548,-1.9299818766566132e-05,-0.0002508346202724589,0.00032725937467840564],[1.926449792024338e-05,0.9999999899000165,-0.00014081493616266135,6.107662636392557e-05],[0.00025083733544178715,0.00014081009950353912,0.9999999586265721,0.0004604628512558223],[0.0,0.0,0.0,1.0]]",3.0,0.000568203387872284,0.0,0.016518548806517794,0.00032725937467840564,6.107662636392557e-05,0.0004604628512558223,0.9998105988707092,true,true,true,0.9999349678090654,0.019889782511253784,15376,,135.94374999956926,0.19.0+b012259,,BOUNDARY,NEW_BISECTION_BOUNDARY_EXECUTION,true,,2,6165,0.4009234571112701,false,shared 0.50m one-nearest-target association fraction,false,UNRESOLVED,2.8,3.2,3.0,3.2
CB-BOUNDARY-R_TEST_01_Q01-S-M3100000UM-POS-O3D-I03,R_TEST_01,Rich,R_TEST_01_Q01,open3d,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,strong,0.11262137474247069,0.993160774305118,-0.030791270398839755,lambda_max,TARGET_FRAME,1,3.1,0.34912626170165917,3.0787984003458657,-0.09545293823640325,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.34912626170165917],[0.0,1.0,0.0,3.0787984003458657],[0.0,0.0,1.0,-0.09545293823640325],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9571824990697754,-0.28927231819956944,0.011099071942543776,0.05571143299751912],[0.2891796072155446,0.9572302614514934,0.009240201954982225,3.393211726978822],[-0.013297302177579993,-0.00563493433437747,0.9998957091966364,-0.10340485175739803],[0.0,0.0,0.0,1.0]]",3.1,3.3952440488483604,0.0,16.832729634062996,0.05571143299751912,3.393211726978822,-0.10340485175739803,-0.09524001575753549,true,true,false,0.42823697730376536,0.2515005135015431,6585,,144.8661610011186,0.19.0+b012259,,BOUNDARY,NEW_BISECTION_BOUNDARY_EXECUTION,true,,3,6348,0.4128243480522859,false,shared 0.50m one-nearest-target association fraction,true,UNRESOLVED,3.0,3.2,3.0,3.1
CB-BOUNDARY-R_TEST_01_Q01-S-M3050000UM-POS-O3D-I04,R_TEST_01,Rich,R_TEST_01_Q01,open3d,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,strong,0.11262137474247069,0.993160774305118,-0.030791270398839755,lambda_max,TARGET_FRAME,1,3.05,0.34349519296453557,3.0291403616306094,-0.09391337471646125,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.34349519296453557],[0.0,1.0,0.0,3.0291403616306094],[0.0,0.0,1.0,-0.09391337471646125],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9590883656986324,-0.282946799985102,0.009519199531247158,0.049454508445655215],[0.28269688362448775,0.9589668116059729,0.02156678527912674,3.4076449621571627],[-0.015230849304215895,-0.017993404804647638,0.9997220906897114,-0.12376890343940321],[0.0,0.0,0.0,1.0]]",3.0499999999999994,3.410250530090023,0.0,16.486094951448415,0.049454508445655215,3.4076449621571627,-0.12376890343940321,-0.11811492789836842,true,true,false,0.4294725889315211,0.2506038575812251,6604,,145.35950500066974,0.19.0+b012259,,BOUNDARY,NEW_BISECTION_BOUNDARY_EXECUTION,true,,4,6285,0.4087273200234116,false,shared 0.50m one-nearest-target association fraction,true,UNRESOLVED,3.0,3.1,3.0,3.05
CB-BOUNDARY-R_TEST_01_Q01-S-M3025000UM-POS-O3D-I05,R_TEST_01,Rich,R_TEST_01_Q01,open3d,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,strong,0.11262137474247069,0.993160774305118,-0.030791270398839755,lambda_max,TARGET_FRAME,1,3.025,0.3406796585959738,3.004311342272982,-0.09314359295649026,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.3406796585959738],[0.0,1.0,0.0,3.004311342272982],[0.0,0.0,1.0,-0.09314359295649026],[0.0,0.0,0.0,1.0]]",source/query_to_target/map,LEFT: T_initial=Delta_T@T_star,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE,"[[0.9608967851871721,-0.27678590154687943,0.008181254294885091,0.04691199434170975],[0.276334458757075,0.9603907254388854,0.03590155142060095,3.4219275986080806],[-0.017794244024147397,-0.03223692286575627,0.9993218428933476,-0.14383887046116867],[0.0,0.0,0.0,1.0]]",3.025,3.425270623758702,0.0,16.197742632852133,0.04691199434170975,3.4219275986080806,-0.14383887046116867,-0.13232086735824855,true,true,false,0.43018794303180075,0.24977498661504985,6615,,135.47687800019048,0.19.0+b012259,,BOUNDARY,NEW_BISECTION_BOUNDARY_EXECUTION,true,,5,6233,0.40534564609481694,false,shared 0.50m one-nearest-target association fraction,true,UNRESOLVED,3.0,3.05,3.0,3.025
