scene_id,scene_class,snapshot_id,backend,direction_class,perturbation_sign,largest_recovered_coarse_magnitude,smallest_failed_coarse_magnitude,capture_radius_lower_m,capture_radius_upper_m,capture_radius_mid_m,capture_radius_resolution_m,boundary_refinement_run_count,LEFT_CENSORED,RIGHT_CENSORED,BOUND_NOT_FOUND,NON_MONOTONIC_RECOVERY_PATTERN,CAPTURE_RADIUS_AMBIGUOUS,lower_initial_correspondence_fraction,upper_initial_correspondence_fraction,upper_bound_low_initial_overlap,coarse_profile_json,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,SPATIAL_AXIS_INTERPRETATION
R_TEST_01,Rich,R_TEST_01_Q01,open3d,strong,-1,2.4,3.2,2.5749999999999997,2.5999999999999996,2.5874999999999995,0.02499999999999991,5,false,false,false,false,false,0.3005787864993172,0.30096897964492425,false,"[{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6136437536580608,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5211029459582494,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.4584119138973792,""magnitude_m"":1.6,""pose_recovered"":true},{""initial_correspondence_fraction"":0.31384535344995773,""magnitude_m"":2.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.2982376276256747,""magnitude_m"":3.2,""pose_recovered"":false},{""initial_correspondence_fraction"":0.20959875138193407,""magnitude_m"":4.8,""pose_recovered"":false},{""initial_correspondence_fraction"":0.005592768420368082,""magnitude_m"":6.4,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q01,open3d,strong,1,2.4,3.2,3.0,3.025,3.0125,0.02499999999999991,5,false,false,false,false,false,0.4009234571112701,0.40534564609481694,false,"[{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6732132405540743,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5767054692072576,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5173310788840476,""magnitude_m"":1.6,""pose_recovered"":true},{""initial_correspondence_fraction"":0.4149053781621903,""magnitude_m"":2.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.41425505625284514,""magnitude_m"":3.2,""pose_recovered"":false},{""initial_correspondence_fraction"":0.33309488196657344,""magnitude_m"":4.8,""pose_recovered"":false},{""initial_correspondence_fraction"":0.011965923131950315,""magnitude_m"":6.4,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q01,open3d,weak,-1,3.2,4.8,3.325,3.3500000000000005,3.3375000000000004,0.025000000000000355,6,false,false,false,false,false,0.7289458281849516,0.7308317617220524,false,"[{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.999869935618131,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.8105612278077649,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.7684203680822007,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.7686154646550042,""magnitude_m"":1.6,""pose_recovered"":true},{""initial_correspondence_fraction"":0.7736879755478963,""magnitude_m"":2.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.7209468687000065,""magnitude_m"":3.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.7063796579306757,""magnitude_m"":4.8,""pose_recovered"":false},{""initial_correspondence_fraction"":0.6628731221954868,""magnitude_m"":6.4,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q01,open3d,weak,1,1.2,1.6,1.3249999999999997,1.3499999999999999,1.3375,0.025000000000000133,4,false,false,false,false,false,0.6810171034662158,0.6846589061585485,false,"[{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.8460037718670742,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6989009559732068,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6750341419002406,""magnitude_m"":1.6,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q01,pcl,strong,-1,2.4,3.2,2.675,2.6999999999999997,2.6875,0.02499999999999991,5,false,false,false,false,false,0.2976523379072641,0.29693698380698447,false,"[{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6136437536580608,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5211029459582494,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.4584119138973792,""magnitude_m"":1.6,""pose_recovered"":true},{""initial_correspondence_fraction"":0.31384535344995773,""magnitude_m"":2.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.2982376276256747,""magnitude_m"":3.2,""pose_recovered"":false},{""initial_correspondence_fraction"":0.20959875138193407,""magnitude_m"":4.8,""pose_recovered"":false},{""initial_correspondence_fraction"":0.005592768420368082,""magnitude_m"":6.4,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q01,pcl,strong,1,2.4,3.2,3.0,3.025,3.0125,0.02499999999999991,5,false,false,false,false,false,0.4009234571112701,0.40534564609481694,false,"[{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6732132405540743,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5767054692072576,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5173310788840476,""magnitude_m"":1.6,""pose_recovered"":true},{""initial_correspondence_fraction"":0.4149053781621903,""magnitude_m"":2.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.41425505625284514,""magnitude_m"":3.2,""pose_recovered"":false},{""initial_correspondence_fraction"":0.33309488196657344,""magnitude_m"":4.8,""pose_recovered"":false},{""initial_correspondence_fraction"":0.011965923131950315,""magnitude_m"":6.4,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q01,pcl,weak,-1,2.4,3.2,3.1,3.125,3.1125,0.02499999999999991,5,false,false,false,false,false,0.7288157638030826,0.726214476165702,false,"[{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.999869935618131,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.8105612278077649,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.7684203680822007,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.7686154646550042,""magnitude_m"":1.6,""pose_recovered"":true},{""initial_correspondence_fraction"":0.7736879755478963,""magnitude_m"":2.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.7209468687000065,""magnitude_m"":3.2,""pose_recovered"":false},{""initial_correspondence_fraction"":0.7063796579306757,""magnitude_m"":4.8,""pose_recovered"":false},{""initial_correspondence_fraction"":0.6628731221954868,""magnitude_m"":6.4,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q01,pcl,weak,1,1.2,1.6,1.3249999999999997,1.3499999999999999,1.3375,0.025000000000000133,4,false,false,false,false,false,0.6810171034662158,0.6846589061585485,false,"[{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9999349678090654,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.8460037718670742,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6989009559732068,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6750341419002406,""magnitude_m"":1.6,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q02,open3d,strong,-1,2.4,3.2,3.125,3.1500000000000004,3.1375,0.025000000000000355,5,false,false,false,false,false,0.2874056726515743,0.291504033307312,false,"[{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6079234972677595,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5111891751236014,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.4472417382253448,""magnitude_m"":1.6,""pose_recovered"":true},{""initial_correspondence_fraction"":0.3042544886807182,""magnitude_m"":2.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.29195940671350507,""magnitude_m"":3.2,""pose_recovered"":false},{""initial_correspondence_fraction"":0.20491803278688525,""magnitude_m"":4.8,""pose_recovered"":false},{""initial_correspondence_fraction"":0.0059849076242518865,""magnitude_m"":6.4,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q02,open3d,strong,1,2.4,3.2,2.975,3.0,2.9875,0.02499999999999991,5,false,false,false,false,false,0.39916731720010407,0.40567265157429094,false,"[{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9998698933125163,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6762945615404632,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5816419463960447,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5143767889669529,""magnitude_m"":1.6,""pose_recovered"":true},{""initial_correspondence_fraction"":0.4143247462919594,""magnitude_m"":2.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.41360915951079885,""magnitude_m"":3.2,""pose_recovered"":false},{""initial_correspondence_fraction"":0.3337236533957845,""magnitude_m"":4.8,""pose_recovered"":false},{""initial_correspondence_fraction"":0.014897215716887848,""magnitude_m"":6.4,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
