scene_class,backend,direction_class,sign,n,capture_radius_lower_m_median,capture_radius_lower_m_q25,capture_radius_lower_m_q75,capture_radius_lower_m_min,capture_radius_lower_m_max,capture_radius_mid_m_median,capture_radius_mid_m_q25,capture_radius_mid_m_q75,bounded_mid_count,right_censored_count,left_censored_count,ambiguous_count,n_at_0p10m,recovery_rate_at_0p10m,n_at_0p20m,recovery_rate_at_0p20m,n_at_0p40m,recovery_rate_at_0p40m,n_at_0p80m,recovery_rate_at_0p80m,n_at_1p20m,recovery_rate_at_1p20m,n_at_1p60m,recovery_rate_at_1p60m,n_at_2p40m,recovery_rate_at_2p40m,n_at_3p20m,recovery_rate_at_3p20m,n_at_4p80m,recovery_rate_at_4p80m,n_at_6p40m,recovery_rate_at_6p40m,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,SPATIAL_AXIS_INTERPRETATION
Rich,open3d,weak,1,10,1.2999999999999998,1.2999999999999998,1.3249999999999997,1.2999999999999998,1.3249999999999997,1.3124999999999998,1.3124999999999998,1.3375,10,0,0,0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,0.0,0,,0,,0,,0,,true,true,false,false,UNRESOLVED
Rich,open3d,weak,-1,10,3.3875,3.3312500000000003,3.48125,3.2750000000000004,3.6500000000000004,3.4000000000000004,3.3437500000000004,3.4937500000000004,10,0,0,0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,0.0,10,0.0,true,true,false,false,UNRESOLVED
Rich,open3d,strong,1,10,2.975,2.975,2.99375,2.975,3.0,2.9875,2.9875,3.00625,10,0,0,0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,0.0,10,0.0,10,0.0,true,true,false,false,UNRESOLVED
Rich,open3d,strong,-1,10,2.5749999999999997,2.53125,2.80625,2.5,3.125,2.5874999999999995,2.5437499999999997,2.81875,10,0,0,0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,0.0,10,0.0,10,0.0,true,true,false,false,UNRESOLVED
Rich,pcl,weak,1,10,1.3249999999999997,1.2999999999999998,1.3249999999999997,1.2999999999999998,1.3249999999999997,1.3375,1.3124999999999998,1.3375,10,0,0,0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,0.0,0,,0,,0,,0,,true,true,false,false,UNRESOLVED
Rich,pcl,weak,-1,10,3.125,3.1,3.1750000000000003,3.075,3.3000000000000003,3.1375,3.1125,3.1875,10,0,0,0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,0.2,10,0.0,10,0.0,true,true,false,false,UNRESOLVED
Rich,pcl,strong,1,10,3.0,2.975,3.0,2.975,3.0,3.0125,2.9875,3.0125,10,0,0,0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,0.0,10,0.0,10,0.0,true,true,false,false,UNRESOLVED
Rich,pcl,strong,-1,10,2.7874999999999996,2.5374999999999996,3.11875,2.475,3.1750000000000003,2.8,2.55,3.13125,10,0,0,0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,0.0,10,0.0,10,0.0,true,true,false,false,UNRESOLVED
Weak,open3d,weak,1,10,1.7375,1.725,1.85,1.725,1.875,1.75,1.7375,1.8625,10,0,0,0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,0.0,10,0.0,10,0.0,10,0.0,true,true,false,false,UNRESOLVED
Weak,open3d,weak,-1,10,1.625,1.6,1.9,1.5750000000000002,2.05,1.6375000000000002,1.6125,1.9124999999999999,10,0,0,0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,0.8,8,0.0,8,0.0,8,0.0,8,0.0,true,true,false,false,UNRESOLVED
