backend,direction_class,sign,rich_n,weak_n,rich_bounded_n,weak_bounded_n,rich_median_capture_radius_mid_m,weak_median_capture_radius_mid_m,weak_rich_capture_ratio,weak_smaller_than_rich,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,SPATIAL_AXIS_INTERPRETATION
open3d,weak,ALL,20,20,20,20,2.3125,1.7375,0.7513513513513513,true,true,true,false,false,UNRESOLVED
open3d,weak,+,10,10,10,10,1.3124999999999998,1.75,1.3333333333333335,false,true,true,false,false,UNRESOLVED
open3d,weak,-,10,10,10,10,3.4000000000000004,1.6375000000000002,0.48161764705882354,true,true,true,false,false,UNRESOLVED
open3d,strong,ALL,20,20,20,18,2.9875,2.125,0.7112970711297072,true,true,true,false,false,UNRESOLVED
open3d,strong,+,10,10,10,8,2.9875,2.0374999999999996,0.6820083682008368,true,true,true,false,false,UNRESOLVED
open3d,strong,-,10,10,10,10,2.5874999999999995,2.1625000000000005,0.8357487922705318,true,true,true,false,false,UNRESOLVED
pcl,weak,ALL,20,20,20,20,2.2125000000000004,1.7625,0.7966101694915253,true,true,true,false,false,UNRESOLVED
pcl,weak,+,10,10,10,10,1.3375,1.7875,1.3364485981308414,false,true,true,false,false,UNRESOLVED
pcl,weak,-,10,10,10,10,3.1375,1.625,0.5179282868525896,true,true,true,false,false,UNRESOLVED
pcl,strong,ALL,20,20,20,20,3.0,2.1,0.7000000000000001,true,true,true,false,false,UNRESOLVED
pcl,strong,+,10,10,10,10,3.0125,2.0125,0.6680497925311204,true,true,true,false,false,UNRESOLVED
pcl,strong,-,10,10,10,10,2.8,2.1625000000000005,0.7723214285714288,true,true,true,false,false,UNRESOLVED
