scene_class,direction_class,perturbation_magnitude_m,n_pairs,identical_input_pair_rate,final_translation_error_spearman,final_rotation_error_spearman,error_direction_cosine_median,error_direction_cosine_q25,error_direction_cosine_q75,recovery_agreement_rate,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,NO_OBVIOUS_MOTION,ACCELERATION_UNIT_UNKNOWN,POINT_COORDINATE_UNIT_STATUS
ALL,ALL,ALL,240,1.0,0.8498072883209777,0.7484296602371567,0.9930286125770095,0.9635169232853537,0.9986239899828924,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,weak,0.01,20,1.0,0.8947368421052632,0.37293233082706767,0.9837267283034855,0.9631781509539783,0.9976526658022304,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,weak,0.03,20,1.0,0.8872180451127819,0.4015037593984962,0.9836237205511971,0.9624801244762912,0.9959457040961335,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,weak,0.05,20,1.0,0.8721804511278194,0.37293233082706767,0.983262189536359,0.9613144236642899,0.9958179996055905,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,strong,0.01,20,1.0,0.8992481203007519,0.3578947368421052,0.9760515343066958,0.9615799563535604,0.9960978422859519,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,strong,0.03,20,1.0,0.8887218045112781,0.3443609022556391,0.9830033279346142,0.962868936741226,0.995632328863966,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,strong,0.05,20,1.0,0.8887218045112781,0.3744360902255639,0.9857890988188001,0.9633926953283833,0.9958419458219911,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,weak,0.01,20,1.0,0.831578947368421,0.918796992481203,0.9972251404097958,0.9844923374008481,0.9993311887502059,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,weak,0.03,20,1.0,0.8345864661654135,0.918796992481203,0.997230369073895,0.9848967120229156,0.9994403756779087,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,weak,0.05,20,1.0,0.8345864661654135,0.9157894736842105,0.9977353591651545,0.9850186730686494,0.9992234947391958,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,strong,0.01,20,1.0,0.8105263157894737,0.9233082706766916,0.9971011373624696,0.9884450480966043,0.9995174361092777,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,strong,0.03,20,1.0,0.8330827067669173,0.9172932330827066,0.997176479225796,0.9882537352476862,0.9991832087200293,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,strong,0.05,20,1.0,0.8360902255639097,0.9218045112781955,0.9974113236543355,0.989074787310805,0.9995446342925683,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
