scene_id,scene_class,snapshot_id,backend,perturbation_magnitude_m,perturbation_sign,weak_run_id,strong_run_id,weak_final_translation_error_m,strong_final_translation_error_m,weak_minus_strong_final_translation_error_m,weak_strong_error_ratio,weak_pose_recovered,strong_pose_recovered,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,NO_OBVIOUS_MOTION,ACCELERATION_UNIT_UNKNOWN,POINT_COORDINATE_UNIT_STATUS
R_TEST_01,Rich,R_TEST_01_Q01,open3d,0.01,-1,CP-R_TEST_01_Q01-W-10MM-NEG-O3D,CP-R_TEST_01_Q01-S-10MM-NEG-O3D,0.0006344434913999496,0.0006344434698917165,2.150823312854766e-11,1.000000033900945,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q01,open3d,0.01,1,CP-R_TEST_01_Q01-W-10MM-POS-O3D,CP-R_TEST_01_Q01-S-10MM-POS-O3D,0.0006344434902980461,0.0006312690973506394,3.1743929474067033e-06,1.005028589171764,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q01,open3d,0.03,-1,CP-R_TEST_01_Q01-W-30MM-NEG-O3D,CP-R_TEST_01_Q01-S-30MM-NEG-O3D,0.0006344525540490374,0.0006344434698920171,9.084157020361472e-09,1.0000143183080155,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q01,open3d,0.03,1,CP-R_TEST_01_Q01-W-30MM-POS-O3D,CP-R_TEST_01_Q01-S-30MM-POS-O3D,0.0006318338583155154,0.0006318338357955281,2.2519987285564425e-11,1.0000000356422623,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q01,open3d,0.05,-1,CP-R_TEST_01_Q01-W-50MM-NEG-O3D,CP-R_TEST_01_Q01-S-50MM-NEG-O3D,0.0006344434886371826,0.000634443469891481,1.874570160556588e-11,1.0000000295466853,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q01,open3d,0.05,1,CP-R_TEST_01_Q01-W-50MM-POS-O3D,CP-R_TEST_01_Q01-S-50MM-POS-O3D,0.0006344434914964639,0.0006318338357962688,2.609655700195083e-06,1.0041302879845082,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q01,pcl,0.01,-1,CP-R_TEST_01_Q01-W-10MM-NEG-PCL,CP-R_TEST_01_Q01-S-10MM-NEG-PCL,0.0006482177848836682,0.0006503488349969756,-2.131050113307327e-06,0.996723219911177,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q01,pcl,0.01,1,CP-R_TEST_01_Q01-W-10MM-POS-PCL,CP-R_TEST_01_Q01-S-10MM-POS-PCL,0.0006481441710455106,0.0006505892161042244,-2.445045058713821e-06,0.9962417989751583,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q01,pcl,0.03,-1,CP-R_TEST_01_Q01-W-30MM-NEG-PCL,CP-R_TEST_01_Q01-S-30MM-NEG-PCL,0.0006529698888901728,0.0006484129681593485,4.556920730824335e-06,1.00702780628179,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q01,pcl,0.03,1,CP-R_TEST_01_Q01-W-30MM-POS-PCL,CP-R_TEST_01_Q01-S-30MM-POS-PCL,0.000645541108631744,0.0006525129493153146,-6.9718406835705396e-06,0.9893153987351728,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
