backend,direction_class,perturbation_magnitude_m,rich_n,weak_n,rich_median_final_translation_error_m,weak_median_final_translation_error_m,weak_rich_median_ratio,rich_recovery_rate,weak_recovery_rate,weak_minus_rich_recovery_rate,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,NO_OBVIOUS_MOTION,ACCELERATION_UNIT_UNKNOWN,POINT_COORDINATE_UNIT_STATUS
open3d,weak,0.01,20,20,0.0005387057113499635,0.0005944153712904679,1.1034139025571112,1.0,1.0,0.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
open3d,weak,0.03,20,20,0.0005384554086500834,0.0005919382998424235,1.0993265000836796,1.0,1.0,0.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
open3d,weak,0.05,20,20,0.0005384439184360262,0.0005904477948135233,1.096581787994836,1.0,1.0,0.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
open3d,strong,0.01,20,20,0.0005402406935878731,0.0005904092587452323,1.092863358411928,1.0,1.0,0.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
open3d,strong,0.03,20,20,0.0005371386296487109,0.0005873978473768745,1.0935684289938952,1.0,1.0,0.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
open3d,strong,0.05,20,20,0.00053718810965936,0.0005904092926825538,1.0990736430427366,1.0,1.0,0.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
pcl,weak,0.01,20,20,0.0005938760749017054,0.000658707406558115,1.1091664311736082,1.0,1.0,0.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
pcl,weak,0.03,20,20,0.0005955174423597808,0.0006603519551335434,1.1088708880076648,1.0,1.0,0.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
pcl,weak,0.05,20,20,0.000596625741363687,0.0006604145550022469,1.1069159595641314,1.0,1.0,0.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
pcl,strong,0.01,20,20,0.0005971518408686379,0.000657989496970202,1.1018797095443387,1.0,1.0,0.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
pcl,strong,0.03,20,20,0.0006016114632193798,0.0006578723817331986,1.0935170320936904,1.0,1.0,0.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
pcl,strong,0.05,20,20,0.0006013307772507388,0.0006534650276545071,1.0866981241873634,1.0,1.0,0.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
