execution_index,run_id,scene_id,scene_class,snapshot_id,backend,direction_class,direction_source,direction_vector_x,direction_vector_y,direction_vector_z,perturbation_sign,perturbation_magnitude_m,perturbation_vector_x_m,perturbation_vector_y_m,perturbation_vector_z_m,Delta_T,T_star,T_initial
1,CP-R_TEST_01_Q01-W-10MM-POS-O3D,R_TEST_01,Rich,R_TEST_01_Q01,open3d,weak,lambda_min,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,1,0.01,0.009922607333298498,-0.0011404226616495553,-0.0004912228231332634,"[[1.0,0.0,0.0,0.009922607333298498],[0.0,1.0,0.0,-0.0011404226616495553],[0.0,0.0,1.0,-0.0004912228231332634],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.009922607333298498],[0.0,1.0,0.0,-0.0011404226616495553],[0.0,0.0,1.0,-0.0004912228231332634],[0.0,0.0,0.0,1.0]]"
2,CP-R_TEST_01_Q01-W-10MM-POS-PCL,R_TEST_01,Rich,R_TEST_01_Q01,pcl,weak,lambda_min,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,1,0.01,0.009922607333298498,-0.0011404226616495553,-0.0004912228231332634,"[[1.0,0.0,0.0,0.009922607333298498],[0.0,1.0,0.0,-0.0011404226616495553],[0.0,0.0,1.0,-0.0004912228231332634],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.009922607333298498],[0.0,1.0,0.0,-0.0011404226616495553],[0.0,0.0,1.0,-0.0004912228231332634],[0.0,0.0,0.0,1.0]]"
3,CP-R_TEST_01_Q01-W-10MM-NEG-O3D,R_TEST_01,Rich,R_TEST_01_Q01,open3d,weak,lambda_min,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,-1,0.01,-0.009922607333298498,0.0011404226616495553,0.0004912228231332634,"[[1.0,0.0,0.0,-0.009922607333298498],[0.0,1.0,0.0,0.0011404226616495553],[0.0,0.0,1.0,0.0004912228231332634],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.009922607333298498],[0.0,1.0,0.0,0.0011404226616495553],[0.0,0.0,1.0,0.0004912228231332634],[0.0,0.0,0.0,1.0]]"
4,CP-R_TEST_01_Q01-W-10MM-NEG-PCL,R_TEST_01,Rich,R_TEST_01_Q01,pcl,weak,lambda_min,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,-1,0.01,-0.009922607333298498,0.0011404226616495553,0.0004912228231332634,"[[1.0,0.0,0.0,-0.009922607333298498],[0.0,1.0,0.0,0.0011404226616495553],[0.0,0.0,1.0,0.0004912228231332634],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.009922607333298498],[0.0,1.0,0.0,0.0011404226616495553],[0.0,0.0,1.0,0.0004912228231332634],[0.0,0.0,0.0,1.0]]"
5,CP-R_TEST_01_Q01-W-30MM-POS-O3D,R_TEST_01,Rich,R_TEST_01_Q01,open3d,weak,lambda_min,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,1,0.03,0.029767821999895496,-0.0034212679849486656,-0.0014736684693997901,"[[1.0,0.0,0.0,0.029767821999895496],[0.0,1.0,0.0,-0.0034212679849486656],[0.0,0.0,1.0,-0.0014736684693997901],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.029767821999895496],[0.0,1.0,0.0,-0.0034212679849486656],[0.0,0.0,1.0,-0.0014736684693997901],[0.0,0.0,0.0,1.0]]"
6,CP-R_TEST_01_Q01-W-30MM-POS-PCL,R_TEST_01,Rich,R_TEST_01_Q01,pcl,weak,lambda_min,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,1,0.03,0.029767821999895496,-0.0034212679849486656,-0.0014736684693997901,"[[1.0,0.0,0.0,0.029767821999895496],[0.0,1.0,0.0,-0.0034212679849486656],[0.0,0.0,1.0,-0.0014736684693997901],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.029767821999895496],[0.0,1.0,0.0,-0.0034212679849486656],[0.0,0.0,1.0,-0.0014736684693997901],[0.0,0.0,0.0,1.0]]"
7,CP-R_TEST_01_Q01-W-30MM-NEG-O3D,R_TEST_01,Rich,R_TEST_01_Q01,open3d,weak,lambda_min,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,-1,0.03,-0.029767821999895496,0.0034212679849486656,0.0014736684693997901,"[[1.0,0.0,0.0,-0.029767821999895496],[0.0,1.0,0.0,0.0034212679849486656],[0.0,0.0,1.0,0.0014736684693997901],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.029767821999895496],[0.0,1.0,0.0,0.0034212679849486656],[0.0,0.0,1.0,0.0014736684693997901],[0.0,0.0,0.0,1.0]]"
8,CP-R_TEST_01_Q01-W-30MM-NEG-PCL,R_TEST_01,Rich,R_TEST_01_Q01,pcl,weak,lambda_min,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,-1,0.03,-0.029767821999895496,0.0034212679849486656,0.0014736684693997901,"[[1.0,0.0,0.0,-0.029767821999895496],[0.0,1.0,0.0,0.0034212679849486656],[0.0,0.0,1.0,0.0014736684693997901],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.029767821999895496],[0.0,1.0,0.0,0.0034212679849486656],[0.0,0.0,1.0,0.0014736684693997901],[0.0,0.0,0.0,1.0]]"
9,CP-R_TEST_01_Q01-W-50MM-POS-O3D,R_TEST_01,Rich,R_TEST_01_Q01,open3d,weak,lambda_min,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,1,0.05,0.0496130366664925,-0.005702113308247776,-0.0024561141156663174,"[[1.0,0.0,0.0,0.0496130366664925],[0.0,1.0,0.0,-0.005702113308247776],[0.0,0.0,1.0,-0.0024561141156663174],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0496130366664925],[0.0,1.0,0.0,-0.005702113308247776],[0.0,0.0,1.0,-0.0024561141156663174],[0.0,0.0,0.0,1.0]]"
10,CP-R_TEST_01_Q01-W-50MM-POS-PCL,R_TEST_01,Rich,R_TEST_01_Q01,pcl,weak,lambda_min,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,1,0.05,0.0496130366664925,-0.005702113308247776,-0.0024561141156663174,"[[1.0,0.0,0.0,0.0496130366664925],[0.0,1.0,0.0,-0.005702113308247776],[0.0,0.0,1.0,-0.0024561141156663174],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0496130366664925],[0.0,1.0,0.0,-0.005702113308247776],[0.0,0.0,1.0,-0.0024561141156663174],[0.0,0.0,0.0,1.0]]"
