scene_class,backend,perturbation_magnitude_m,weak_direction_n,strong_direction_n,weak_direction_median_final_translation_error_m,strong_direction_median_final_translation_error_m,weak_strong_median_ratio,weak_direction_recovery_rate,strong_direction_recovery_rate,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,NO_OBVIOUS_MOTION,ACCELERATION_UNIT_UNKNOWN,POINT_COORDINATE_UNIT_STATUS
Rich,open3d,0.01,20,20,0.0005387057113499635,0.0005402406935878731,0.9971587067465885,1.0,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,open3d,0.03,20,20,0.0005384554086500834,0.0005371386296487109,1.0024514695623987,1.0,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,open3d,0.05,20,20,0.0005384439184360262,0.00053718810965936,1.002337744924143,1.0,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,pcl,0.01,20,20,0.0005938760749017054,0.0005971518408686379,0.9945143500484441,1.0,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,pcl,0.03,20,20,0.0005955174423597808,0.0006016114632193798,0.9898705040841671,1.0,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,pcl,0.05,20,20,0.000596625741363687,0.0006013307772507388,0.9921756276827155,1.0,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,open3d,0.01,20,20,0.0005944153712904679,0.0005904092587452323,1.006785314569337,1.0,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,open3d,0.03,20,20,0.0005919382998424235,0.0005873978473768745,1.0077297737569608,1.0,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,open3d,0.05,20,20,0.0005904477948135233,0.0005904092926825538,1.0000652126100429,1.0,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,pcl,0.01,20,20,0.000658707406558115,0.000657989496970202,1.0010910654215892,1.0,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,pcl,0.03,20,20,0.0006603519551335434,0.0006578723817331986,1.0037690796409666,1.0,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,pcl,0.05,20,20,0.0006604145550022469,0.0006534650276545071,1.0106348879490672,1.0,1.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
