trial_id,backend,finite_result,scientific_status,solver_status,infrastructure_status,solver_success,solver_converged,has_converged,has_converged_raw,iteration_count,frozen_result_path
FMB1-ZP11R1-FMB1-R01-S01-Q01-O3D,OPEN3D_POINT_TO_PLANE,True,COMPLETED,completed_finite_correspondences,OK,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,results/mid360_formal_batch1/zero_perturbation_v1_1_execution_v1/raw_runtime_snapshot/trial_results/FMB1-ZP11R1-FMB1-R01-S01-Q01-O3D/attempt-0001.json
FMB1-ZP11R1-FMB1-R01-S01-Q01-PCL,PCL_POINT_TO_PLANE,True,COMPLETED,completed_finite_correspondences,OK,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,results/mid360_formal_batch1/zero_perturbation_v1_1_execution_v1/raw_runtime_snapshot/trial_results/FMB1-ZP11R1-FMB1-R01-S01-Q01-PCL/attempt-0001.json
FMB1-ZP11R1-FMB1-R01-S01-Q02-O3D,OPEN3D_POINT_TO_PLANE,True,COMPLETED,completed_finite_correspondences,OK,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,results/mid360_formal_batch1/zero_perturbation_v1_1_execution_v1/raw_runtime_snapshot/trial_results/FMB1-ZP11R1-FMB1-R01-S01-Q02-O3D/attempt-0001.json
FMB1-ZP11R1-FMB1-R01-S01-Q02-PCL,PCL_POINT_TO_PLANE,True,COMPLETED,completed_finite_correspondences,OK,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,results/mid360_formal_batch1/zero_perturbation_v1_1_execution_v1/raw_runtime_snapshot/trial_results/FMB1-ZP11R1-FMB1-R01-S01-Q02-PCL/attempt-0001.json
FMB1-ZP11R1-FMB1-R01-S01-Q03-O3D,OPEN3D_POINT_TO_PLANE,True,COMPLETED,completed_finite_correspondences,OK,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,results/mid360_formal_batch1/zero_perturbation_v1_1_execution_v1/raw_runtime_snapshot/trial_results/FMB1-ZP11R1-FMB1-R01-S01-Q03-O3D/attempt-0001.json
FMB1-ZP11R1-FMB1-R01-S01-Q03-PCL,PCL_POINT_TO_PLANE,True,COMPLETED,completed_finite_correspondences,OK,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,results/mid360_formal_batch1/zero_perturbation_v1_1_execution_v1/raw_runtime_snapshot/trial_results/FMB1-ZP11R1-FMB1-R01-S01-Q03-PCL/attempt-0001.json
FMB1-ZP11R1-FMB1-R01-S01-Q04-O3D,OPEN3D_POINT_TO_PLANE,True,COMPLETED,completed_finite_correspondences,OK,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,results/mid360_formal_batch1/zero_perturbation_v1_1_execution_v1/raw_runtime_snapshot/trial_results/FMB1-ZP11R1-FMB1-R01-S01-Q04-O3D/attempt-0001.json
FMB1-ZP11R1-FMB1-R01-S01-Q04-PCL,PCL_POINT_TO_PLANE,True,COMPLETED,completed_finite_correspondences,OK,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,results/mid360_formal_batch1/zero_perturbation_v1_1_execution_v1/raw_runtime_snapshot/trial_results/FMB1-ZP11R1-FMB1-R01-S01-Q04-PCL/attempt-0001.json
FMB1-ZP11R1-FMB1-R01-S01-Q05-O3D,OPEN3D_POINT_TO_PLANE,True,COMPLETED,completed_finite_correspondences,OK,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,results/mid360_formal_batch1/zero_perturbation_v1_1_execution_v1/raw_runtime_snapshot/trial_results/FMB1-ZP11R1-FMB1-R01-S01-Q05-O3D/attempt-0001.json
FMB1-ZP11R1-FMB1-R01-S01-Q05-PCL,PCL_POINT_TO_PLANE,True,COMPLETED,completed_finite_correspondences,OK,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,results/mid360_formal_batch1/zero_perturbation_v1_1_execution_v1/raw_runtime_snapshot/trial_results/FMB1-ZP11R1-FMB1-R01-S01-Q05-PCL/attempt-0001.json
FMB1-ZP11R1-FMB1-R01-S01-Q06-O3D,OPEN3D_POINT_TO_PLANE,True,COMPLETED,completed_finite_correspondences,OK,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,results/mid360_formal_batch1/zero_perturbation_v1_1_execution_v1/raw_runtime_snapshot/trial_results/FMB1-ZP11R1-FMB1-R01-S01-Q06-O3D/attempt-0001.json
FMB1-ZP11R1-FMB1-R01-S01-Q06-PCL,PCL_POINT_TO_PLANE,True,COMPLETED,completed_finite_correspondences,OK,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,results/mid360_formal_batch1/zero_perturbation_v1_1_execution_v1/raw_runtime_snapshot/trial_results/FMB1-ZP11R1-FMB1-R01-S01-Q06-PCL/attempt-0001.json
FMB1-ZP11R1-FMB1-R01-S01-Q07-O3D,OPEN3D_POINT_TO_PLANE,True,COMPLETED,completed_finite_correspondences,OK,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,results/mid360_formal_batch1/zero_perturbation_v1_1_execution_v1/raw_runtime_snapshot/trial_results/FMB1-ZP11R1-FMB1-R01-S01-Q07-O3D/attempt-0001.json
FMB1-ZP11R1-FMB1-R01-S01-Q07-PCL,PCL_POINT_TO_PLANE,True,COMPLETED,completed_finite_correspondences,OK,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,results/mid360_formal_batch1/zero_perturbation_v1_1_execution_v1/raw_runtime_snapshot/trial_results/FMB1-ZP11R1-FMB1-R01-S01-Q07-PCL/attempt-0001.json
FMB1-ZP11R1-FMB1-R01-S01-Q08-O3D,OPEN3D_POINT_TO_PLANE,True,COMPLETED,completed_finite_correspondences,OK,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,results/mid360_formal_batch1/zero_perturbation_v1_1_execution_v1/raw_runtime_snapshot/trial_results/FMB1-ZP11R1-FMB1-R01-S01-Q08-O3D/attempt-0001.json
FMB1-ZP11R1-FMB1-R01-S01-Q08-PCL,PCL_POINT_TO_PLANE,True,COMPLETED,completed_finite_correspondences,OK,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,MISSING_FIELD,results/mid360_formal_batch1/zero_perturbation_v1_1_execution_v1/raw_runtime_snapshot/trial_results/FMB1-ZP11R1-FMB1-R01-S01-Q08-PCL/attempt-0001.json
