scene_id,station_id,snapshot_id,selection_index,initial_correspondence_count,initial_valid_normal_correspondence_count,lambda_min_trans,lambda_mid_trans,lambda_max_trans,normalized_lambda_min_trans,normalized_lambda_mid_trans,normalized_lambda_max_trans,condition_number_trans,spectral_entropy_trans
FMB1_W04,S01,FMB1_W04_S01_Q01,0,15936,15936,0.054778960022921756,0.14121045715627978,0.8040105828207988,0.05477896002292173,0.14121045715627972,0.8040105828207985,14.677361207375386,0.5560759563513925
FMB1_W04,S01,FMB1_W04_S01_Q02,1,15820,15820,0.05365951207897082,0.13752934084781707,0.8088111470732118,0.05365951207897084,0.13752934084781712,0.808811147073212,15.073024627635126,0.5474430716764656
FMB1_W04,S01,FMB1_W04_S01_Q03,2,15902,15902,0.05282622321537598,0.13934628333500576,0.8078274934496179,0.052826223215376,0.13934628333500582,0.8078274934496181,15.292168250530654,0.5482981880571752
FMB1_W04,S01,FMB1_W04_S01_Q04,3,15873,15873,0.05346214821760535,0.1439444133804611,0.8025934384019333,0.053462148217605365,0.14394441338046113,0.8025934384019335,15.012367911875925,0.5571450098064742
FMB1_W04,S01,FMB1_W04_S01_Q05,4,15850,15850,0.05266914435596667,0.1408044910470825,0.8065263645969512,0.052669144355966646,0.14080449104708245,0.8065263645969508,15.313071333492873,0.5502327571733906
FMB1_W04,S01,FMB1_W04_S01_Q06,5,15849,15849,0.05187712056954162,0.14488712351616312,0.8032357559142953,0.05187712056954162,0.14488712351616312,0.8032357559142953,15.48342982601651,0.5546866931150172
FMB1_W04,S01,FMB1_W04_S01_Q07,6,15734,15734,0.05335635485265678,0.1397851905470329,0.8068584546003099,0.0533563548526568,0.13978519054703295,0.8068584546003102,15.122068530139366,0.5503127805904287
FMB1_W04,S01,FMB1_W04_S01_Q08,7,15851,15851,0.05153383776777331,0.14115820893028072,0.8073079533019463,0.051533837767773295,0.1411582089302807,0.807307953301946,15.66558960619068,0.5479628939218141
FMB1_W04,S01,FMB1_W04_S01_Q09,8,15844,15844,0.052533473292967474,0.1398571056570066,0.8076094210500262,0.05253347329296746,0.13985710565700657,0.807609421050026,15.373234823941079,0.548386941976866
FMB1_W04,S01,FMB1_W04_S01_Q10,9,15771,15771,0.054395308255762484,0.13926701412949163,0.806337677614746,0.054395308255762484,0.13926701412949163,0.806337677614746,14.823662250858277,0.5520444142638068
FMB1_W04,S02,FMB1_W04_S02_Q01,0,15653,15653,0.07596843110085288,0.1600618027695454,0.7639697661296024,0.07596843110085283,0.1600618027695453,0.7639697661296019,10.05641099939769,0.6323884213931205
FMB1_W04,S02,FMB1_W04_S02_Q02,1,15698,15698,0.0762503321913071,0.1628816179636414,0.7608680498450515,0.0762503321913071,0.1628816179636414,0.7608680498450515,9.978553902376232,0.6369636908882361
FMB1_W04,S02,FMB1_W04_S02_Q03,2,15838,15838,0.07383318661339623,0.1651502571679937,0.7610165562186102,0.07383318661339623,0.1651502571679937,0.7610165562186102,10.307242462707576,0.6350358086717485
FMB1_W04,S02,FMB1_W04_S02_Q04,3,15829,15829,0.07580980871560375,0.1625481821315445,0.7616420091528515,0.07580980871560376,0.16254818213154454,0.7616420091528517,10.046747539096279,0.6355715918386287
FMB1_W04,S02,FMB1_W04_S02_Q05,4,15739,15739,0.07404905940396421,0.1641880628498858,0.7617628777461504,0.07404905940396418,0.1641880628498857,0.76176287774615,10.287272841515248,0.6341529391688826
FMB1_W04,S02,FMB1_W04_S02_Q06,5,15826,15826,0.07616927034092592,0.15902365613847724,0.7648070735205974,0.0761692703409259,0.15902365613847716,0.7648070735205971,10.040887487793944,0.631329714087213
FMB1_W04,S02,FMB1_W04_S02_Q07,6,15912,15912,0.07849424488696881,0.16223125314714693,0.7592745019658846,0.07849424488696877,0.16223125314714684,0.7592745019658843,9.672995810829633,0.6407173522100209
FMB1_W04,S02,FMB1_W04_S02_Q08,7,15749,15749,0.0750006805972058,0.16564791674853968,0.7593514026542554,0.07500068059720573,0.16564791674853954,0.7593514026542547,10.124593491789534,0.6381962996316881
FMB1_W04,S02,FMB1_W04_S02_Q09,8,15763,15763,0.0771341252143932,0.15880286664130114,0.7640630081443056,0.0771341252143932,0.15880286664130114,0.7640630081443056,9.905641712025687,0.6330338923328561
FMB1_W04,S02,FMB1_W04_S02_Q10,9,15684,15684,0.07560184992927817,0.1647445398776355,0.7596536101930862,0.07560184992927818,0.16474453987763552,0.7596536101930864,10.048082300945083,0.6382065624472772
FMB1_W04,S03,FMB1_W04_S03_Q01,0,15886,15886,0.04787219952905735,0.15181505390783706,0.8003127465631061,0.04787219952905733,0.151815053907837,0.8003127465631058,16.717693242344843,0.5552016580495532
FMB1_W04,S03,FMB1_W04_S03_Q02,1,15985,15985,0.05059450067579534,0.1470670293166812,0.8023384700075227,0.05059450067579538,0.1470670293166813,0.8023384700075233,15.858215009351113,0.5548565611794639
FMB1_W04,S03,FMB1_W04_S03_Q03,2,15809,15809,0.05180884402267573,0.14585507404368028,0.8023360819336445,0.05180884402267571,0.14585507404368023,0.8023360819336441,15.486469483520564,0.5560219823786506
FMB1_W04,S03,FMB1_W04_S03_Q04,3,15901,15901,0.05235455048583342,0.1421932205168559,0.805452228997311,0.05235455048583341,0.14219322051685587,0.8054522289973107,15.384569660573394,0.5516499280512897
