authoritative_scientific_outcome_n,backend,endpoint,endpoint_specific_undefined_n,finite_endpoint_n,formal_summary_status,level,planned_n,resolved_infrastructure_attempt_n,scene_id,scientific_undefined_nonfinite_n,solver_nonconverged_finite_n,station_id,unresolved_infrastructure_failure_n
10,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,station,10,0,FMB1_R01,0,10,S01,0
10,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,station,10,0,FMB1_R01,0,10,S02,0
10,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,station,10,0,FMB1_R01,0,10,S03,0
30,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,30,FORMAL_SCENE_SUMMARY_DEFINED_COMPLETE_30_OF_30,scene,30,0,FMB1_R01,0,30,,0
10,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,station,10,0,FMB1_R02,0,10,S01,0
10,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,station,10,0,FMB1_R02,0,10,S02,0
10,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,station,10,0,FMB1_R02,0,10,S03,0
30,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,30,FORMAL_SCENE_SUMMARY_DEFINED_COMPLETE_30_OF_30,scene,30,0,FMB1_R02,0,30,,0
10,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,station,10,0,FMB1_R03,0,10,S01,0
10,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,station,10,0,FMB1_R03,0,10,S02,0
10,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,station,10,0,FMB1_R03,0,10,S03,0
30,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,30,FORMAL_SCENE_SUMMARY_DEFINED_COMPLETE_30_OF_30,scene,30,0,FMB1_R03,0,30,,0
10,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,station,10,0,FMB1_W01,0,10,S01,0
10,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,station,10,0,FMB1_W01,0,10,S02,0
10,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,station,10,0,FMB1_W01,0,10,S03,0
30,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,30,FORMAL_SCENE_SUMMARY_DEFINED_COMPLETE_30_OF_30,scene,30,0,FMB1_W01,0,30,,0
10,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,station,10,0,FMB1_W02,0,10,S01,0
10,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,station,10,0,FMB1_W02,0,10,S02,0
10,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,station,10,0,FMB1_W02,0,10,S03,0
30,OPEN3D_POINT_TO_PLANE,translation_norm_m,0,30,FORMAL_SCENE_SUMMARY_DEFINED_COMPLETE_30_OF_30,scene,30,0,FMB1_W02,0,30,,0
