classification,open3d_sign,pcl_sign,scene_i,scene_j
CONCORDANT_NON_TIE,1,1,FMB1_R01,FMB1_R02
CONCORDANT_NON_TIE,-1,-1,FMB1_R01,FMB1_R03
CONCORDANT_NON_TIE,1,1,FMB1_R01,FMB1_W01
CONCORDANT_NON_TIE,1,1,FMB1_R01,FMB1_W02
CONCORDANT_NON_TIE,-1,-1,FMB1_R01,FMB1_W03
CONCORDANT_NON_TIE,-1,-1,FMB1_R02,FMB1_R03
CONCORDANT_NON_TIE,-1,-1,FMB1_R02,FMB1_W01
CONCORDANT_NON_TIE,-1,-1,FMB1_R02,FMB1_W02
CONCORDANT_NON_TIE,-1,-1,FMB1_R02,FMB1_W03
CONCORDANT_NON_TIE,1,1,FMB1_R03,FMB1_W01
CONCORDANT_NON_TIE,1,1,FMB1_R03,FMB1_W02
CONCORDANT_NON_TIE,-1,-1,FMB1_R03,FMB1_W03
CONCORDANT_NON_TIE,-1,-1,FMB1_W01,FMB1_W02
CONCORDANT_NON_TIE,-1,-1,FMB1_W01,FMB1_W03
CONCORDANT_NON_TIE,-1,-1,FMB1_W02,FMB1_W03
