complete,identifier,open3d_value,pcl_value
True,FMB1_R01_S01,0.0008560002835832756,0.0009813849305954096
True,FMB1_R01_S02,0.0005346678599799407,0.0005148217788740626
True,FMB1_R01_S03,0.00041798288612607807,0.00038843322221461285
True,FMB1_R02_S01,0.0003982615808448929,0.00038753686897452283
True,FMB1_R02_S02,0.000596581876802316,0.0006187301429645749
True,FMB1_R02_S03,0.00022296567819665331,0.00021308673864526553
True,FMB1_R03_S01,0.0005027543076966248,0.0005045490489778436
True,FMB1_R03_S02,0.0006569383256750351,0.0006401131070678519
True,FMB1_R03_S03,0.0007153993006559535,0.000661456965732708
True,FMB1_W01_S01,0.00048518296303812116,0.0004330792973336366
True,FMB1_W01_S02,0.0004596631411550427,0.0004314023592083304
True,FMB1_W01_S03,0.0004925494676696576,0.0004842128404690516
True,FMB1_W02_S01,0.00039006510500752827,0.00036332925636584285
True,FMB1_W02_S02,0.0006929836761314808,0.0006312010879968642
True,FMB1_W02_S03,0.000506692938677043,0.00048688307881270367
True,FMB1_W03_S01,0.0007786944073192089,0.0007843940311735808
True,FMB1_W03_S02,0.000528850697051181,0.0005307515961934319
True,FMB1_W03_S03,0.0006996998338049382,0.0007266047861937254
