assigned_rich_scene_ids,assigned_weak_scene_ids,backend,endpoint,greater_than_or_equal_observed,observed_allocation,statistic
"[""FMB1_W01"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_R03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,5.651414721031441e-05
"[""FMB1_R03"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W01""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,-1.2497406498323323e-05
"[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,-3.5487199688817085e-05
"[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,1.2497406498323323e-05
"[""FMB1_R02"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W01""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,7.950394040080817e-05
"[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,5.651414721031441e-05
"[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,7.950394040080817e-05
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,-1.2497406498323323e-05
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,3.5487199688817085e-05
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W01""]","[""FMB1_R01"", ""FMB1_W02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,1.2497406498323323e-05
"[""FMB1_R01"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W01""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,-1.2497406498323323e-05
"[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,-3.5487199688817085e-05
"[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,1.2497406498323323e-05
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,False,False,-7.950394040080817e-05
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W02""]","[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,-5.651414721031441e-05
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W01""]","[""FMB1_R02"", ""FMB1_W02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,False,False,-7.950394040080817e-05
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W03""]","[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,-1.2497406498323323e-05
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W02""]","[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,3.5487199688817085e-05
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W01""]","[""FMB1_R03"", ""FMB1_W02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,False,1.2497406498323323e-05
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_R03""]","[""FMB1_W01"", ""FMB1_W02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,True,True,-5.651414721031441e-05
