authoritative_scientific_outcome_n,available_case,backend,endpoint,endpoint_specific_undefined_n,finite_endpoint_n,formal_statistics,formal_summary_status,planned_n,resolved_infrastructure_attempt_n,scene_id,scientific_undefined_nonfinite_n,solver_nonconverged_finite_n,station_id,undefined_trial_ids,unresolved_infrastructure_failure_n
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.0006780044166404397, ""q25"": 0.0005611111636807702, ""q75"": 0.0008363306863164196, ""q95"": 0.0015641287240180655}}",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,0,10,"{""median"": 0.0006780044166404397, ""q25"": 0.0005611111636807702, ""q75"": 0.0008363306863164196, ""q95"": 0.0015641287240180655}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R01,0,10,S01,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.03884679156472664, ""q25"": 0.032149301516582456, ""q75"": 0.0479182186032104, ""q95"": 0.08961797450141787}}",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,0,10,"{""median"": 0.03884679156472664, ""q25"": 0.032149301516582456, ""q75"": 0.0479182186032104, ""q95"": 0.08961797450141787}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R01,0,10,S01,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.00020805252692052424, ""q25"": 0.0001815998876469508, ""q75"": 0.00022244091327381868, ""q95"": 0.000292232907150917}}",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,0,10,"{""median"": 0.00020805252692052424, ""q25"": 0.0001815998876469508, ""q75"": 0.00022244091327381868, ""q95"": 0.000292232907150917}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R01,0,10,S02,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.011920531709577981, ""q25"": 0.010404907122220215, ""q75"": 0.012744925521625382, ""q95"": 0.016743712214586}}",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,0,10,"{""median"": 0.011920531709577981, ""q25"": 0.010404907122220215, ""q75"": 0.012744925521625382, ""q95"": 0.016743712214586}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R01,0,10,S02,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.00012232545335750302, ""q25"": 6.572242315731133e-05, ""q75"": 0.00015455388549406358, ""q95"": 0.00017584763699705094}}",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,0,10,"{""median"": 0.00012232545335750302, ""q25"": 6.572242315731133e-05, ""q75"": 0.00015455388549406358, ""q95"": 0.00017584763699705094}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R01,0,10,S03,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.007008732204409329, ""q25"": 0.0037656174662868062, ""q75"": 0.008855285346158039, ""q95"": 0.010075327437279569}}",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,0,10,"{""median"": 0.007008732204409329, ""q25"": 0.0037656174662868062, ""q75"": 0.008855285346158039, ""q95"": 0.010075327437279569}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R01,0,10,S03,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.00012735612208297436, ""q25"": 0.00010059950882221307, ""q75"": 0.00019122623757279847, ""q95"": 0.0002177029122097762}}",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,0,10,"{""median"": 0.00012735612208297436, ""q25"": 0.00010059950882221307, ""q75"": 0.00019122623757279847, ""q95"": 0.0002177029122097762}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R02,0,10,S01,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.007296968290507294, ""q25"": 0.0057639272766019, ""q75"": 0.01095645634508736, ""q95"": 0.012473458057327256}}",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,0,10,"{""median"": 0.007296968290507294, ""q25"": 0.0057639272766019, ""q75"": 0.01095645634508736, ""q95"": 0.012473458057327256}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R02,0,10,S01,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.00015502878225820229, ""q25"": 8.44539816951442e-05, ""q75"": 0.00022245775260865578, ""q95"": 0.0002982047858369547}}",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,0,10,"{""median"": 0.00015502878225820229, ""q25"": 8.44539816951442e-05, ""q75"": 0.00022245775260865578, ""q95"": 0.0002982047858369547}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R02,0,10,S02,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.008882494926447607, ""q25"": 0.004838856714206872, ""q75"": 0.012745890344441355, ""q95"": 0.01708587565906009}}",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,0,10,"{""median"": 0.008882494926447607, ""q25"": 0.004838856714206872, ""q75"": 0.012745890344441355, ""q95"": 0.01708587565906009}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R02,0,10,S02,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.00010946946871515494, ""q25"": 5.939213099560491e-05, ""q75"": 0.00015821562165139918, ""q95"": 0.00021108502507534825}}",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,0,10,"{""median"": 0.00010946946871515494, ""q25"": 5.939213099560491e-05, ""q75"": 0.00015821562165139918, ""q95"": 0.00021108502507534825}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R02,0,10,S03,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.00627213854291778, ""q25"": 0.0034029184423362813, ""q75"": 0.009065087373663822, ""q95"": 0.012094281055230607}}",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,0,10,"{""median"": 0.00627213854291778, ""q25"": 0.0034029184423362813, ""q75"": 0.009065087373663822, ""q95"": 0.012094281055230607}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R02,0,10,S03,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.00013191143291794218, ""q25"": 0.00012570355594712355, ""q75"": 0.00016482535731633717, ""q95"": 0.00018827578828484035}}",OPEN3D_POINT_TO_PLANE,rotation_angle_rad,0,10,"{""median"": 0.00013191143291794218, ""q25"": 0.00012570355594712355, ""q75"": 0.00016482535731633717, ""q95"": 0.00018827578828484035}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R03,0,10,S01,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.007557968375721166, ""q25"": 0.007202283225556799, ""q75"": 0.009443797330961866, ""q95"": 0.010787408053219979}}",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,0,10,"{""median"": 0.007557968375721166, ""q25"": 0.007202283225556799, ""q75"": 0.009443797330961866, ""q95"": 0.010787408053219979}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R03,0,10,S01,[],0
