backend,denominator,finite_vector_n,mean_vector,planned_n,scene_id,station_id,status,systematic_fraction
OPEN3D_POINT_TO_PLANE,0.0008852226675882113,10,"[0.00034602812200371926, 0.0004191485983019375, 0.00044381619248322856]",10,FMB1_R01,S01,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.7926907148513378
OPEN3D_POINT_TO_PLANE,0.0005014245702490413,10,"[-0.00033034292481529007, -0.00014817473599651752, -0.00012908264109553707]",10,FMB1_R01,S02,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.7665669524045249
OPEN3D_POINT_TO_PLANE,0.0004350103442520033,10,"[0.00022820830912550412, -1.4844546182922002e-05, -0.00018150379982594442]",10,FMB1_R01,S03,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.6711658259501029
OPEN3D_POINT_TO_PLANE,0.00035046062502138906,10,"[-3.672000671718392e-05, 6.821727700778391e-05, 2.7784533039344414e-05]",10,FMB1_R02,S01,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.2348449983002799
OPEN3D_POINT_TO_PLANE,0.0005313211206594144,10,"[-8.294540320591052e-06, -2.660514400881612e-06, 0.00040731936602309986]",10,FMB1_R02,S02,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.7667914606417501
OPEN3D_POINT_TO_PLANE,0.0002656306013816507,10,"[0.00010326676437183258, -3.2605129724132366e-05, -2.6061487695865338e-05]",10,FMB1_R02,S03,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.41931788663705827
OPEN3D_POINT_TO_PLANE,0.0004680235245500643,10,"[-0.00018448187056911773, -0.00011533032554605464, -0.0001252527830415745]",10,FMB1_R03,S01,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.5363910507522597
OPEN3D_POINT_TO_PLANE,0.0006875445553313141,10,"[-0.000247774495245676, -1.7769128705017264e-05, -0.00033813801470259535]",10,FMB1_R03,S02,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.6102549631109737
OPEN3D_POINT_TO_PLANE,0.0007063669780402001,10,"[-0.0005328393582832954, -0.0001011771241010404, 6.693836416188934e-06]",10,FMB1_R03,S03,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.7678749549628265
OPEN3D_POINT_TO_PLANE,0.0005188340379569141,10,"[0.00043704633303492355, -0.00013980828625102579, 0.00010045882513752446]",10,FMB1_W01,S01,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.9053601397065129
