assigned_rich_scene_ids,assigned_weak_scene_ids,backend,greater_than_or_equal_observed,observed_allocation,statistic
"[""FMB1_W01"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_R03""]",OPEN3D_POINT_TO_PLANE,True,False,2.6347781758088518e-05
"[""FMB1_R03"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W01""]",OPEN3D_POINT_TO_PLANE,False,False,-0.00015701583770200774
"[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,False,False,-0.00011311109853837391
"[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,True,False,2.6347781758088518e-05
"[""FMB1_R02"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W01""]",OPEN3D_POINT_TO_PLANE,True,False,2.6347781758088518e-05
"[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,True,False,7.025252092172235e-05
"[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,True,False,0.00015701583770200774
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,False,False,-0.00011311109853837391
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,True,False,2.6347781758088518e-05
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W01""]","[""FMB1_R01"", ""FMB1_W02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,True,False,7.025252092172235e-05
"[""FMB1_R01"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W01""]",OPEN3D_POINT_TO_PLANE,False,False,-7.025252092172235e-05
"[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,True,False,-2.6347781758088518e-05
"[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,True,False,0.00011311109853837391
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,False,False,-0.00015701583770200774
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W02""]","[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,False,False,-7.025252092172235e-05
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W01""]","[""FMB1_R02"", ""FMB1_W02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,True,False,-2.6347781758088518e-05
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W03""]","[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,True,False,-2.6347781758088518e-05
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W02""]","[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,True,False,0.00011311109853837391
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W01""]","[""FMB1_R03"", ""FMB1_W02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,True,False,0.00015701583770200774
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_R03""]","[""FMB1_W01"", ""FMB1_W02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,True,True,-2.6347781758088518e-05
"[""FMB1_W01"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_R03""]",PCL_POINT_TO_PLANE,True,False,1.0915494546904852e-05
"[""FMB1_R03"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W01""]",PCL_POINT_TO_PLANE,False,False,-0.0001641774900613067
