authoritative_scientific_outcome_n,available_case,backend,endpoint,endpoint_specific_undefined_n,finite_endpoint_n,formal_statistics,formal_summary_status,planned_n,resolved_infrastructure_attempt_n,scene_id,scientific_undefined_nonfinite_n,solver_nonconverged_finite_n,station_id,undefined_trial_ids,unresolved_infrastructure_failure_n
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.0008560002835832756, ""q25"": 0.0007176009404142192, ""q75"": 0.0010639911646672705, ""q95"": 0.0015446878175116269}}",OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,"{""median"": 0.0008560002835832756, ""q25"": 0.0007176009404142192, ""q75"": 0.0010639911646672705, ""q95"": 0.0015446878175116269}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R01,0,10,S01,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.0005346678599799407, ""q25"": 0.0004335745453169506, ""q75"": 0.0005772647697686079, ""q95"": 0.000609177393684285}}",OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,"{""median"": 0.0005346678599799407, ""q25"": 0.0004335745453169506, ""q75"": 0.0005772647697686079, ""q95"": 0.000609177393684285}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R01,0,10,S02,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.00041798288612607807, ""q25"": 0.000352351991209844, ""q75"": 0.000507849731852968, ""q95"": 0.0007250450275953003}}",OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,"{""median"": 0.00041798288612607807, ""q25"": 0.000352351991209844, ""q75"": 0.000507849731852968, ""q95"": 0.0007250450275953003}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R01,0,10,S03,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.0003982615808448929, ""q25"": 0.00028133974324621097, ""q75"": 0.00044479851022111703, ""q95"": 0.0004828117379554899}}",OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,"{""median"": 0.0003982615808448929, ""q25"": 0.00028133974324621097, ""q75"": 0.00044479851022111703, ""q95"": 0.0004828117379554899}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R02,0,10,S01,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.000596581876802316, ""q25"": 0.0003137627511011221, ""q75"": 0.0007056361989000457, ""q95"": 0.0008236582403527322}}",OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,"{""median"": 0.000596581876802316, ""q25"": 0.0003137627511011221, ""q75"": 0.0007056361989000457, ""q95"": 0.0008236582403527322}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R02,0,10,S02,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.00022296567819665331, ""q25"": 0.00015746022294914317, ""q75"": 0.00039535030500913, ""q95"": 0.0004991376639975468}}",OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,"{""median"": 0.00022296567819665331, ""q25"": 0.00015746022294914317, ""q75"": 0.00039535030500913, ""q95"": 0.0004991376639975468}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R02,0,10,S03,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.0005027543076966248, ""q25"": 0.00032648191654938293, ""q75"": 0.0006185242454416164, ""q95"": 0.0006597013192470336}}",OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,"{""median"": 0.0005027543076966248, ""q25"": 0.00032648191654938293, ""q75"": 0.0006185242454416164, ""q95"": 0.0006597013192470336}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R03,0,10,S01,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.0006569383256750351, ""q25"": 0.0006043096179284861, ""q75"": 0.0007588295469535027, ""q95"": 0.001061046145463318}}",OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,"{""median"": 0.0006569383256750351, ""q25"": 0.0006043096179284861, ""q75"": 0.0007588295469535027, ""q95"": 0.001061046145463318}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R03,0,10,S02,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.0007153993006559535, ""q25"": 0.0005270082844332897, ""q75"": 0.0008590190068522599, ""q95"": 0.00105669221812732}}",OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,"{""median"": 0.0007153993006559535, ""q25"": 0.0005270082844332897, ""q75"": 0.0008590190068522599, ""q95"": 0.00105669221812732}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_R03,0,10,S03,[],0
10,"{""finite_n"": 10, ""label"": ""AVAILABLE_CASE_DESCRIPTIVE_NOT_PRIMARY_NOT_INFERENTIAL"", ""may_enter_inference"": false, ""statistics"": {""median"": 0.00048518296303812116, ""q25"": 0.00034590714269805314, ""q75"": 0.0007206042776301036, ""q95"": 0.0008059456200507596}}",OPEN3D_POINT_TO_PLANE,translation_norm_m,0,10,"{""median"": 0.00048518296303812116, ""q25"": 0.00034590714269805314, ""q75"": 0.0007206042776301036, ""q95"": 0.0008059456200507596}",FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,10,0,FMB1_W01,0,10,S01,[],0
