binding_name,repository_relative_path,sha256,bytes
acquisition_attempt_lineage,results/mid360_formal_batch1/final_dataset_v1/acquisition_attempt_lineage.json,cc156c95e9b5e0b6c3235acbccff32e3c6ba6efe122669e73a99db9be659e507,953
activation_review,results/mid360_formal_batch1/zero_perturbation_v1_1_lock/zero_perturbation_v1_1_activation_review.json,a5433870b37da0fbca918df2a44f544b682d409ffed8d46d5a5f3de09279bc73,7150
active_amendment,experiments/mid360_formal_batch1/amendments/zero_perturbation_mainline_v1_1_r1.json,0f9681af0e23632926a69423c44e945abc0153a3aba9358412d5f38cc1516ec6,8643
active_amendment_md,experiments/mid360_formal_batch1/amendments/zero_perturbation_mainline_v1_1_r1.md,14b59028d7b8ccb882a845e0962647c4e2ef04c3009c56883bb694bc9b32ff25,7068
active_protocol_pointer,experiments/mid360_formal_batch1/ACTIVE_PROTOCOL.json,5a735b6b9e4d0795f4916e08f8517c4c8af98f1a8517b42d20acfdd206b9ac2c,3638
admitted_bag_manifest,results/mid360_formal_batch1/final_dataset_v1/final_raw_bag_manifest.csv,2c8953ad5db1bd30a905f7412a6c0bf7c27e9f8b8a02926078a96e8237757415,10203
amendment_activation_record,experiments/mid360_formal_batch1/amendments/amendment_activation_record_v1_1_r1.json,86e43dfde797fc93c83430d03175b9da78f6e879aa14a5b17d7723d91b202378,6266
analysis_contract,experiments/mid360_formal_batch1/amendments/zero_perturbation_analysis_contract_v1_1_r1.json,4120847bb471efbdbd32026ac23e959ab9ae4236709cf599b6e15701eb8b153d,14438
analysis_missingness_clarification,experiments/mid360_formal_batch1/amendments/zero_perturbation_analysis_missingness_clarification_v1_1_r1_c1.json,7b50dabef2352b666570657d519e98e9a5ae277da777be222c3483134fca69fb,10327
analysis_missingness_clarification_md,experiments/mid360_formal_batch1/amendments/zero_perturbation_analysis_missingness_clarification_v1_1_r1_c1.md,7685db784b50430ec4e8b7cfa75e684c96d3a2c57b0127fa7509b085dfdd2826,5569
analysis_missingness_clarification_transition,experiments/mid360_formal_batch1/amendments/analysis_missingness_clarification_transition_v1_1_r1_c1.json,1d25d38ec4192ca505dfe35f36a9992da43ea2d7a4bd209da136991805ef9238,2888
analysis_preclarification_history_inventory,experiments/mid360_formal_batch1/amendments/history/zero_perturbation_v1_1_r1_active_pre_missingness_clarification/active_preclarification_inventory.json,44410fd6952c3f49597ee53dc0ce64952ca96f184094e84d36b4fb933ff900c7,1775
analysis_protocol,experiments/mid360_formal_batch1/amendments/zero_perturbation_analysis_protocol_v1_1_r1.md,9982193c3c4c2a6cda77c8db858fd73e73f61da7eb7ffe651610e5b1ed1c0b4c,9734
authorization_contract,experiments/mid360_formal_batch1/authorization/authorization_contract_v1.md,db5fb42d8631f28fea9049dcab381b11e7ec5cd6f710b5d44daae4b04a5ecb60,1567
authorization_lifecycle_test_report,results/mid360_formal_batch1/zero_perturbation_v1_1_exec_r2_lock/authorization_lifecycle_test_report.json,3a6ea7514449d09f5163541eec2783635ed1e3228a41519067bee38d3dc25832,1087
authorization_schema,experiments/mid360_formal_batch1/authorization/formal_registration_authorization_schema_v1.json,97aa8c658c1c6b15774f174f014d14783499389716a22293dd8878963fbe7ea7,3679
backend_parameter_contract,frozen_assets/backend_parameter_contract.json,6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9,1802
blocked_attempt_no_registration,archive/formal_execution_attempts/blocked_attempt_001_missing_authorization_infrastructure/NO_REGISTRATION_ATTESTATION.json,951f1328b7e0cbfe628daeb5f7b12ec4803a675341f01091fe6c04d0d03e4de9,510
blocked_attempt_record,archive/formal_execution_attempts/blocked_attempt_001_missing_authorization_infrastructure/BLOCKED_EXECUTION_ATTEMPT.json,fbebcffa88f67e339da0266d67c2b78e96d7b222a60bccb44db3a7ead66d7c0c,1099
blocked_attempt_sha256sums,archive/formal_execution_attempts/blocked_attempt_001_missing_authorization_infrastructure/SHA256SUMS,251a392704ed4de3dcd3035990245f012df447cc214628d1faf1a1842f4a5945,291
environment_manifest,results/mid360_formal_batch1/zero_perturbation_v1_1_exec_r2_lock/environment_manifest.json,e7637921f841d9c7a4ee667dca471ae682afa71f4943eee0a15ef2678e54686e,13827
execution_authorization_lifecycle,experiments/mid360_formal_batch1/authorization/authorization_lifecycle.py,d6506c9cdcf70a3e6fde34b07d1da54a410ede2da85dde387b7aa31fdc807a8b,5447
execution_authorization_producer,experiments/mid360_formal_batch1/authorization/formal_registration_authorization.py,85bd020d154440343c1ce524455e2b474beefb724901dd01edd61a4c2ba772d7,14587
execution_authorization_producer_cli,tools/mid360_formal_batch1/issue_formal_registration_authorization.py,13d9b860b383bb6b8d9ca80722079a4df8e2d4eb8ad414240be134ab031a882d,1765
execution_authorization_verifier,experiments/mid360_formal_batch1/authorization/formal_registration_authorization_verify.py,5c16e3ac013cba721968cf9995ce068394174e1b092bac3438a60c1ab2851bef,19307
execution_authorization_verifier_cli,tools/mid360_formal_batch1/verify_formal_registration_authorization.py,23510aa94ef8760583859809ee69b5ba62e9a9948c9f928a9cf51ff7492495d5,2126
execution_common_association,src/phase_a_harness/common_association_analysis.py,458190c26d8640353004663474adb64305d1193d89ff0dc68f71f404de8f175d,21894
execution_control_patch_report,results/mid360_formal_batch1/zero_perturbation_v1_1_exec_r2_lock/execution_control_patch_report.json,3e4992c637e1a456528877ba7edc4a5b1c717432f253d611ebf98573ab0198d3,2059
execution_environment,experiments/mid360_formal_batch1/zero_perturbation_v1_1_r1_environment.py,6bd4861e55ff82fd7c72350f07aa7845b27895e9014e5dbac758b921c5e0bddb,15176
execution_exec_r2_lock_builder,experiments/mid360_formal_batch1/zero_perturbation_v1_1_exec_r2_lock.py,d386cd4b8ac03e0477cb7eb76aac6210f1dab83864e839f79048a20cbf6c6944,17404
execution_exec_r2_lock_issuer_cli,tools/mid360_formal_batch1/issue_zero_perturbation_v1_1_exec_r2_lock.py,3fd8960596cab1a93723a6536ae7bf2de4b5244f9f2cadacee1f43f75cef66db,1386
execution_exec_r2_lock_verifier,experiments/mid360_formal_batch1/zero_perturbation_v1_1_exec_r2_verify.py,516b32258b25345b20eca08891946365851edea21e8d20cf4499fb2cfd68e74f,14994
execution_exec_r2_lock_verifier_cli,tools/mid360_formal_batch1/verify_zero_perturbation_v1_1_exec_r2_lock.py,c45859881775553ef84a1a469716391604e6412f63a5096e26cc981e4ff6b73c,2396
execution_experiments_package_init,experiments/__init__.py,9f84c17dbe1b57c00af9e4513daa7069e7090f5cc08de0bb940e1314993715d4,48
execution_metrics,src/phase_a_harness/metrics.py,5cce4ca571a87f0c4f1a6beda028bc406c2ea2f55cac2a2069d8b3014c725a41,1327
execution_mid360_formal_batch1_package_init,experiments/mid360_formal_batch1/__init__.py,2c18a601dcd5bc00d2ae372832a602b4a236496e81db8bf51b1a3dc9839a0d01,75
execution_open3d_backend,src/phase_a_harness/open3d_backend.py,eb327dd5d13f7cf099469e5e1a315e23c41d593cd7301d278135b4276b9f255f,4112
