trial_id,backend,result_file_sha256,attempt_count,schema_pass,identity_binding_pass,transform_arithmetic_pass,rotation_recomputation_pass,association_recomputation_pass,missingness_pass,overall_pass,failure_field_names
FMB1-ZP11R1-FMB1-R01-S01-Q01-O3D,OPEN3D_POINT_TO_PLANE,3d89d14b82c7ea29f221dd3b9deff4e44432f9362c26dd1d240f56685aac134f,1,True,True,True,True,True,True,True,[]
FMB1-ZP11R1-FMB1-R01-S01-Q01-PCL,PCL_POINT_TO_PLANE,a61a1cf39176859b6df05f4934457904859725a3859cc173beca43ddafd04e21,1,True,True,True,True,True,True,True,[]
FMB1-ZP11R1-FMB1-R01-S01-Q02-O3D,OPEN3D_POINT_TO_PLANE,b10c5e6e7c841fce69416fe6ab411d0d2355a7b20a951173f450fd1d9dc39c4a,1,True,True,True,True,True,True,True,[]
FMB1-ZP11R1-FMB1-R01-S01-Q02-PCL,PCL_POINT_TO_PLANE,181494b6f58f06ca7acc5d3f40e58550f1ccef0d44ac340ce40893d8b3716bb1,1,True,True,True,True,True,True,True,[]
FMB1-ZP11R1-FMB1-R01-S01-Q03-O3D,OPEN3D_POINT_TO_PLANE,a81e56a17c6c2fbbcc1f1425af55194221ff30de6a3b31bc075532c0cc19d874,1,True,True,True,True,True,True,True,[]
FMB1-ZP11R1-FMB1-R01-S01-Q03-PCL,PCL_POINT_TO_PLANE,9cb9d96ec67d7dd8b5f1bb841b9c96c042bb852fa3f5eccd1a02dfad8767d1bd,1,True,True,True,True,True,True,True,[]
FMB1-ZP11R1-FMB1-R01-S01-Q04-O3D,OPEN3D_POINT_TO_PLANE,46f80a96ca10bae281413eab3f36d4e0ec2b8279858824022a751934e8c1aa00,1,True,True,True,True,True,True,True,[]
FMB1-ZP11R1-FMB1-R01-S01-Q04-PCL,PCL_POINT_TO_PLANE,8c115c3e44b65e403ef77cdbe53df08904e1efff3b09b6f927e81293b01321b5,1,True,True,True,True,True,True,True,[]
FMB1-ZP11R1-FMB1-R01-S01-Q05-O3D,OPEN3D_POINT_TO_PLANE,63f21ccace21085d90b6414ac31abddc222c9014f74b9f1bbdb23f40eaad953a,1,True,True,True,True,True,True,True,[]
FMB1-ZP11R1-FMB1-R01-S01-Q05-PCL,PCL_POINT_TO_PLANE,f48ce626b6c0ef46b65b658f0b6c01da84f66713eb15811ec26b2f264398f8a4,1,True,True,True,True,True,True,True,[]
FMB1-ZP11R1-FMB1-R01-S01-Q06-O3D,OPEN3D_POINT_TO_PLANE,891bf2f0c0473492558e97d057b4aa44789378ac703e1f031f05c90c6e532a6b,1,True,True,True,True,True,True,True,[]
